number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
61,0.00022567203268408775,2025-07-17 15:43:36.654083,2025-07-17 15:44:42.978841,0 days 00:01:06.324758,32,102,0.0009241848948937222,17,COMPLETE
62,0.0002167562342947349,2025-07-17 15:44:42.979706,2025-07-17 15:45:31.989826,0 days 00:00:49.010120,32,126,0.0027523544440273733,6,COMPLETE
63,0.0002341168437851593,2025-07-17 15:45:31.990439,2025-07-17 15:46:22.705310,0 days 00:00:50.714871,32,87,0.0014222833324627618,10,COMPLETE
64,0.00023252661048900336,2025-07-17 15:46:22.705740,2025-07-17 15:47:25.338269,0 days 00:01:02.632529,32,111,0.0019123471683841445,14,COMPLETE
65,0.00018762719992082566,2025-07-17 15:47:25.339106,2025-07-17 15:48:46.012364,0 days 00:01:20.673258,32,95,0.002332743511433068,24,COMPLETE
66,0.00020801347272936255,2025-07-17 15:48:46.013182,2025-07-17 15:50:04.346176,0 days 00:01:18.332994,64,122,0.003257740134915212,24,COMPLETE
67,0.00024439991102553904,2025-07-17 15:50:04.346999,2025-07-17 15:50:51.025080,0 days 00:00:46.678081,32,48,0.0046523125119517965,24,COMPLETE
68,0.00019605259876698256,2025-07-17 15:50:51.025692,2025-07-17 15:52:14.559283,0 days 00:01:23.533591,16,55,0.002251141171513312,22,COMPLETE
69,0.00043377524707466364,2025-07-17 15:52:14.560144,2025-07-17 15:53:31.886659,0 days 00:01:17.326515,32,92,0.0016154219931451663,25,COMPLETE
70,0.00016079960914794356,2025-07-17 15:53:31.887511,2025-07-17 15:54:22.791640,0 days 00:00:50.904129,32,106,0.0013634485947125778,9,COMPLETE
71,0.00020410357683431357,2025-07-17 15:54:22.792251,2025-07-17 15:55:01.336748,0 days 00:00:38.544497,32,61,0.001240267264051848,8,COMPLETE
72,0.00020483467960730195,2025-07-17 15:55:01.337369,2025-07-17 15:55:47.941652,0 days 00:00:46.604283,32,106,0.0026779724191088898,7,COMPLETE
73,0.0002007708535529673,2025-07-17 15:55:47.942266,2025-07-17 15:56:31.695255,0 days 00:00:43.752989,32,100,0.002188969948005846,6,COMPLETE
74,0.0005016810609959066,2025-07-17 15:56:31.695863,2025-07-17 15:57:10.956410,0 days 00:00:39.260547,32,96,0.0007777470074752272,5,COMPLETE
75,0.00020067844889126718,2025-07-17 15:57:10.956985,2025-07-17 15:57:57.040322,0 days 00:00:46.083337,32,82,0.001623157490822381,9,COMPLETE
76,0.0007862013881094754,2025-07-17 15:57:57.040746,2025-07-17 15:58:23.751199,0 days 00:00:26.710453,128,109,0.0012341115067753736,7,COMPLETE
77,0.0004103627288714051,2025-07-17 15:58:23.751793,2025-07-17 15:59:33.799351,0 days 00:01:10.047558,16,102,0.0038348708233470084,6,COMPLETE
78,0.00026825073291547596,2025-07-17 15:59:33.800169,2025-07-17 16:00:54.735022,0 days 00:01:20.934853,32,118,0.0018921634356421225,20,COMPLETE
79,0.00026478516520000994,2025-07-17 16:00:54.735890,2025-07-17 16:01:45.822858,0 days 00:00:51.086968,32,113,0.003085808849238607,8,COMPLETE
80,0.0005491133197210729,2025-07-17 16:01:45.823293,2025-07-17 16:02:13.149159,0 days 00:00:27.325866,64,105,0.000981735161808753,5,COMPLETE
81,0.00033583876211196184,2025-07-17 16:02:13.149750,2025-07-17 16:03:33.042609,0 days 00:01:19.892859,16,56,0.002400815284023032,22,COMPLETE
82,0.00046278623631224036,2025-07-17 16:03:33.043478,2025-07-17 16:05:05.796182,0 days 00:01:32.752704,16,72,0.002111173211256208,22,COMPLETE
83,0.00027148742810823023,2025-07-17 16:05:05.796977,2025-07-17 16:06:34.835680,0 days 00:01:29.038703,16,61,0.0014112742172936637,23,COMPLETE
84,0.0002448786108288914,2025-07-17 16:06:34.836502,2025-07-17 16:08:14.609394,0 days 00:01:39.772892,16,70,0.004401219534895084,24,COMPLETE
85,0.0002009604504564777,2025-07-17 16:08:14.610217,2025-07-17 16:09:18.423813,0 days 00:01:03.813596,16,78,0.0030471652601903446,6,COMPLETE
86,0.0005345059907995164,2025-07-17 16:09:18.424653,2025-07-17 16:10:25.618941,0 days 00:01:07.194288,32,83,0.0024059336469775534,21,COMPLETE
87,0.0003474399563856423,2025-07-17 16:10:25.619752,2025-07-17 16:11:52.544929,0 days 00:01:26.925177,16,65,0.0016942203486609564,20,COMPLETE
88,0.00016433780547231436,2025-07-17 16:11:52.545773,2025-07-17 16:13:21.892420,0 days 00:01:29.346647,32,115,0.007614032307561361,25,COMPLETE
