number,value,datetime_start,datetime_complete,duration,params_batch_size,params_h,params_lr,params_seq_length,state
119,0.0003808664041571319,2025-07-17 22:34:00.824677,2025-07-17 22:37:02.224285,0 days 00:03:01.399608,16,123,0.0016944904899641908,19,COMPLETE
120,0.0003894203691743314,2025-07-17 22:37:02.225408,2025-07-17 22:40:12.842132,0 days 00:03:10.616724,16,118,0.0008090591719291791,22,COMPLETE
121,0.0004345860215835273,2025-07-17 22:40:12.843068,2025-07-17 22:43:23.814574,0 days 00:03:10.971506,16,128,0.0012239759077355848,22,COMPLETE
122,0.00043541143531911075,2025-07-17 22:43:23.815555,2025-07-17 22:46:30.877961,0 days 00:03:07.062406,16,121,0.0014264523712860973,21,COMPLETE
123,0.00043642634409479797,2025-07-17 22:46:30.878931,2025-07-17 22:49:15.849993,0 days 00:02:44.971062,16,124,0.002244095086180354,20,COMPLETE
124,0.00037732982309535146,2025-07-17 22:49:15.850972,2025-07-17 22:53:11.563251,0 days 00:03:55.712279,16,113,0.0015765172035687846,21,COMPLETE
125,0.0003823282022494823,2025-07-17 22:53:11.564261,2025-07-17 22:56:26.356779,0 days 00:03:14.792518,16,126,0.0010346787207686373,22,COMPLETE
126,0.0004143374098930508,2025-07-17 22:56:26.357739,2025-07-17 22:59:07.364326,0 days 00:02:41.006587,16,117,0.001859567575005113,19,COMPLETE
127,0.00034532640711404383,2025-07-17 22:59:07.365315,2025-07-17 23:02:14.288051,0 days 00:03:06.922736,16,122,0.0013145141195177032,21,COMPLETE
128,0.0003537173615768552,2025-07-17 23:02:14.289033,2025-07-17 23:05:00.503537,0 days 00:02:46.214504,16,120,0.0005851591727486875,20,COMPLETE
129,0.0003315966168884188,2025-07-17 23:05:00.504505,2025-07-17 23:08:06.303376,0 days 00:03:05.798871,16,122,0.0012430580579469517,21,COMPLETE
130,0.00034408908686600626,2025-07-17 23:08:06.304362,2025-07-17 23:11:04.824978,0 days 00:02:58.520616,16,125,0.0008929062663976772,19,COMPLETE
131,0.0003199286584276706,2025-07-17 23:11:04.825954,2025-07-17 23:14:02.443701,0 days 00:02:57.617747,16,126,0.0009367526830276834,19,COMPLETE
132,0.00033044914016500115,2025-07-17 23:14:02.444668,2025-07-17 23:16:47.952786,0 days 00:02:45.508118,16,128,0.0011436146385833863,20,COMPLETE
133,0.00037629311555065215,2025-07-17 23:16:47.953761,2025-07-17 23:19:49.886149,0 days 00:03:01.932388,16,128,0.0007880391034003555,20,COMPLETE
134,0.0003432224038988352,2025-07-17 23:19:49.887113,2025-07-17 23:23:02.432121,0 days 00:03:12.545008,16,119,0.000979520909529968,21,COMPLETE
135,0.00035637884866446257,2025-07-17 23:23:02.433065,2025-07-17 23:23:43.446543,0 days 00:00:41.013478,128,116,0.0015421363943914422,20,COMPLETE
136,0.0003428489144425839,2025-07-17 23:23:43.447269,2025-07-17 23:27:12.930425,0 days 00:03:29.483156,16,126,0.0012391532962421708,23,COMPLETE
137,0.0003310996398795396,2025-07-17 23:27:12.931400,2025-07-17 23:28:45.132772,0 days 00:01:32.201372,32,122,0.002037186185876105,21,COMPLETE
138,0.00039566209306940436,2025-07-17 23:28:45.133696,2025-07-17 23:30:11.488462,0 days 00:01:26.354766,32,121,0.0016842901734305967,20,COMPLETE
139,0.00038674144889228046,2025-07-17 23:30:11.489448,2025-07-17 23:31:31.764249,0 days 00:01:20.274801,32,128,0.002049406260923846,21,COMPLETE
140,0.0003835709940176457,2025-07-17 23:31:31.765218,2025-07-17 23:32:46.745828,0 days 00:01:14.980610,32,122,0.0025121169473167125,19,COMPLETE
141,0.00034112020512111485,2025-07-17 23:32:46.746804,2025-07-17 23:34:09.326250,0 days 00:01:22.579446,32,125,0.0010569753508797932,21,COMPLETE
142,0.0004672511131502688,2025-07-17 23:34:09.327221,2025-07-17 23:37:27.532952,0 days 00:03:18.205731,16,123,0.0001505461078162014,20,COMPLETE
143,0.0003706528805196285,2025-07-17 23:37:27.533906,2025-07-17 23:40:40.081642,0 days 00:03:12.547736,16,119,0.0013793431077443223,22,COMPLETE
144,0.00034710855106823146,2025-07-17 23:40:40.082597,2025-07-17 23:43:37.189423,0 days 00:02:57.106826,16,126,0.0011821622325845255,18,COMPLETE
145,0.00037138230982236564,2025-07-17 23:43:37.190407,2025-07-17 23:46:32.063258,0 days 00:02:54.872851,16,116,0.0007118419794640227,21,COMPLETE
146,0.00035594654036685824,2025-07-17 23:46:32.064268,2025-07-17 23:48:00.897112,0 days 00:01:28.832844,32,128,0.0018479226595884822,20,COMPLETE
147,0.0004618051752913743,2025-07-17 23:48:00.898062,2025-07-17 23:49:51.525623,0 days 00:01:50.627561,16,43,0.0008932938383093618,21,COMPLETE
148,0.0003876518167089671,2025-07-17 23:49:51.526586,2025-07-17 23:54:48.720142,0 days 00:04:57.193556,16,112,0.0015587398623750268,22,COMPLETE
149,0.00034269382013008,2025-07-17 23:54:48.721090,2025-07-17 23:58:07.641437,0 days 00:03:18.920347,16,123,0.0014065875597761377,20,COMPLETE
150,0.0013758669374510646,2025-07-17 23:58:07.642464,2025-07-17 23:59:35.882031,0 days 00:01:28.239567,16,19,0.0011345736109977917,18,COMPLETE
151,0.0003573316498659551,2025-07-17 23:59:35.882977,2025-07-18 00:01:12.539556,0 days 00:01:36.656579,32,125,0.001005440640156654,21,COMPLETE
152,0.00034454549313522875,2025-07-18 00:01:12.540522,2025-07-18 00:01:51.558190,0 days 00:00:39.017668,32,119,0.0012875989102954688,5,COMPLETE
153,0.00037426972994580865,2025-07-18 00:01:51.558971,2025-07-18 00:03:38.689293,0 days 00:01:47.130322,32,124,0.0010537580662167015,23,COMPLETE
154,0.00036703445948660374,2025-07-18 00:03:38.690250,2025-07-18 00:05:11.439925,0 days 00:01:32.749675,32,126,0.0008117982122205575,21,COMPLETE
155,0.00042335287434980273,2025-07-18 00:05:11.440892,2025-07-18 00:06:34.991712,0 days 00:01:23.550820,32,122,0.0021702884570660532,20,COMPLETE
156,0.0003593437431845814,2025-07-18 00:06:34.992711,2025-07-18 00:09:24.068238,0 days 00:02:49.075527,16,128,0.00167391275549575,19,COMPLETE
157,0.0003077247238252312,2025-07-18 00:09:24.069235,2025-07-18 00:12:19.790082,0 days 00:02:55.720847,16,120,0.0009489834275976953,21,COMPLETE
158,0.00037208839785307646,2025-07-18 00:12:19.791087,2025-07-18 00:16:21.691659,0 days 00:04:01.900572,16,115,0.000908571702185299,22,COMPLETE
159,0.0003988368553109467,2025-07-18 00:16:21.692603,2025-07-18 00:19:16.831028,0 days 00:02:55.138425,16,119,0.0013552058846972824,20,COMPLETE
160,0.00034640170633792877,2025-07-18 00:19:16.832025,2025-07-18 00:22:19.540967,0 days 00:03:02.708942,16,122,0.0006624671256139249,22,COMPLETE
161,0.0004401877522468567,2025-07-18 00:22:19.541945,2025-07-18 00:25:29.990851,0 days 00:03:10.448906,16,125,0.0011199036050127563,21,COMPLETE
162,0.0003703527036122978,2025-07-18 00:25:29.991891,2025-07-18 00:28:23.675567,0 days 00:02:53.683676,16,121,0.0009963020732684765,21,COMPLETE
