number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_size_layers,state
61,0.0003609676205087453,2025-07-12 16:46:43.128752,2025-07-12 16:46:57.714546,0 days 00:00:14.585794,identity,16,0.0008217303541909033,1,111,COMPLETE
62,0.0003578696632757783,2025-07-12 16:46:57.715003,2025-07-12 16:47:12.272593,0 days 00:00:14.557590,identity,16,0.0006021707831094286,1,102,COMPLETE
63,0.0004082307277712971,2025-07-12 16:47:12.272881,2025-07-12 16:47:26.829825,0 days 00:00:14.556944,identity,16,0.0004319402859381995,1,86,COMPLETE
64,0.0003775530494749546,2025-07-12 16:47:26.830321,2025-07-12 16:47:41.412945,0 days 00:00:14.582624,identity,16,0.0003449595199565323,1,100,COMPLETE
65,0.0003606837126426399,2025-07-12 16:47:41.413487,2025-07-12 16:47:55.995570,0 days 00:00:14.582083,identity,16,0.000671674026844621,1,95,COMPLETE
66,0.0003973064012825489,2025-07-12 16:47:55.995889,2025-07-12 16:48:10.625407,0 days 00:00:14.629518,identity,16,0.0008565685869802606,1,124,COMPLETE
67,0.00036151919630356133,2025-07-12 16:48:10.625913,2025-07-12 16:48:25.215664,0 days 00:00:14.589751,identity,16,0.00028203396069592705,1,116,COMPLETE
68,0.00045865989523008466,2025-07-12 16:48:25.216149,2025-07-12 16:48:32.197238,0 days 00:00:06.981089,identity,64,0.0005443981399975269,2,103,COMPLETE
69,0.0003933835541829467,2025-07-12 16:48:32.197515,2025-07-12 16:48:46.807539,0 days 00:00:14.610024,identity,16,0.001093690441686952,1,107,COMPLETE
70,0.0005086297169327736,2025-07-12 16:48:46.807985,2025-07-12 16:48:55.424543,0 days 00:00:08.616558,identity,32,0.000681642499136912,1,114,COMPLETE
71,0.000358304736437276,2025-07-12 16:48:55.424845,2025-07-12 16:49:10.073648,0 days 00:00:14.648803,identity,16,0.0005723675666042215,1,119,COMPLETE
72,0.0003589305852074176,2025-07-12 16:49:10.073969,2025-07-12 16:49:24.755583,0 days 00:00:14.681614,identity,16,0.00045546830582042654,1,110,COMPLETE
73,0.0003659143403638154,2025-07-12 16:49:24.756114,2025-07-12 16:49:39.352140,0 days 00:00:14.596026,identity,16,0.0006042377739124317,1,116,COMPLETE
74,0.0003648172423709184,2025-07-12 16:49:39.352643,2025-07-12 16:49:53.992879,0 days 00:00:14.640236,identity,16,0.0012338350002463667,1,125,COMPLETE
75,0.000499358749948442,2025-07-12 16:49:53.993200,2025-07-12 16:49:57.647637,0 days 00:00:03.654437,identity,128,0.0008275279334097665,1,97,COMPLETE
76,0.003865826176479459,2025-07-12 16:49:57.648121,2025-07-12 16:50:13.058326,0 days 00:00:15.410205,relu,16,0.0003752585760881127,1,120,COMPLETE
77,0.00035876035690307617,2025-07-12 16:50:13.058623,2025-07-12 16:50:27.624463,0 days 00:00:14.565840,identity,16,0.0005236355046855162,1,125,COMPLETE
78,0.0004044475208502263,2025-07-12 16:50:27.624944,2025-07-12 16:50:46.607173,0 days 00:00:18.982229,identity,16,0.0009336134878639501,2,82,COMPLETE
79,0.0003618258342612535,2025-07-12 16:50:46.607623,2025-07-12 16:51:16.120112,0 days 00:00:29.512489,identity,16,0.0007102892469006254,4,107,COMPLETE
80,0.000358482648152858,2025-07-12 16:51:16.120464,2025-07-12 16:51:30.761008,0 days 00:00:14.640544,identity,16,0.005788907171236161,1,112,COMPLETE
81,0.0003580258344300091,2025-07-12 16:51:30.761463,2025-07-12 16:51:45.433426,0 days 00:00:14.671963,identity,16,0.0005845755713788169,1,119,COMPLETE
82,0.00036144154728390276,2025-07-12 16:51:45.433749,2025-07-12 16:52:00.034873,0 days 00:00:14.601124,identity,16,0.0006080618894021179,1,121,COMPLETE
83,0.0003698548534885049,2025-07-12 16:52:00.035341,2025-07-12 16:52:24.673906,0 days 00:00:24.638565,identity,16,0.00043372500640124454,3,116,COMPLETE
84,0.00035737574216909707,2025-07-12 16:52:24.674369,2025-07-12 16:52:39.324504,0 days 00:00:14.650135,identity,16,0.000749515730613598,1,101,COMPLETE
85,0.0003667123382911086,2025-07-12 16:52:39.324833,2025-07-12 16:52:53.882677,0 days 00:00:14.557844,identity,16,0.0007766770051047334,1,91,COMPLETE
86,0.00038895264151506126,2025-07-12 16:52:53.883046,2025-07-12 16:53:08.474593,0 days 00:00:14.591547,identity,16,0.0010148609613873645,1,100,COMPLETE
87,0.00041359078022651374,2025-07-12 16:53:08.475095,2025-07-12 16:53:13.800684,0 days 00:00:05.325589,identity,64,0.0013668613151161567,1,126,COMPLETE
88,0.0026132084894925356,2025-07-12 16:53:13.800996,2025-07-12 16:53:29.186932,0 days 00:00:15.385936,relu,16,0.000485297771633684,1,104,COMPLETE
89,0.000502993818372488,2025-07-12 16:53:29.187265,2025-07-12 16:53:37.783565,0 days 00:00:08.596300,identity,32,0.0008730363346984297,1,128,COMPLETE
90,0.000358653167495504,2025-07-12 16:53:37.784054,2025-07-12 16:53:52.369330,0 days 00:00:14.585276,identity,16,0.000650861917664605,1,113,COMPLETE
91,0.0003574402362573892,2025-07-12 16:53:52.369637,2025-07-12 16:54:07.099914,0 days 00:00:14.730277,identity,16,0.0005735600277087259,1,108,COMPLETE
92,0.00039002951234579086,2025-07-12 16:54:07.100409,2025-07-12 16:54:21.743303,0 days 00:00:14.642894,identity,16,0.0007250569806368095,1,108,COMPLETE
