number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
49,0.08311633765697479,2025-07-17 15:59:11.297908,2025-07-17 16:00:29.736988,0 days 00:01:18.439080,prod,32,0.007773462500802694,9,23,bell,COMPLETE
50,3.3226065635681152,2025-07-17 16:00:29.737913,2025-07-17 16:00:58.088061,0 days 00:00:28.350148,prod,128,0.002174983825482295,8,22,bell,COMPLETE
51,0.005103376228362322,2025-07-17 16:00:58.088722,2025-07-17 16:03:01.822339,0 days 00:02:03.733617,prod,16,0.009956712165597946,8,24,bell,COMPLETE
52,0.004116239957511425,2025-07-17 16:03:01.823199,2025-07-17 16:05:08.490652,0 days 00:02:06.667453,prod,16,0.004560788255027798,8,25,bell,COMPLETE
53,0.00286673242226243,2025-07-17 16:05:08.491558,2025-07-17 16:07:05.190829,0 days 00:01:56.699271,min,16,0.0033195888266221965,6,23,bell,COMPLETE
54,0.0013263615546748042,2025-07-17 16:07:05.191698,2025-07-17 16:09:02.902120,0 days 00:01:57.710422,min,16,0.007795085347422357,9,21,bell,COMPLETE
55,0.009736808016896248,2025-07-17 16:09:02.902989,2025-07-17 16:10:35.754204,0 days 00:01:32.851215,prod,16,0.005568077929367591,7,13,bell,COMPLETE
56,0.35071566700935364,2025-07-17 16:10:35.755090,2025-07-17 16:11:21.270553,0 days 00:00:45.515463,min,64,0.007687339752875237,8,24,bell,COMPLETE
57,0.0007298921118490398,2025-07-17 16:11:21.271200,2025-07-17 16:12:55.885988,0 days 00:01:34.614788,min,16,0.0038299733423331596,8,15,gaussian,COMPLETE
58,0.45488855242729187,2025-07-17 16:12:55.887110,2025-07-17 16:14:57.154004,0 days 00:02:01.266894,min,16,0.0002784412879101464,7,22,bell,COMPLETE
59,0.050753094255924225,2025-07-17 16:14:57.154905,2025-07-17 16:16:38.905535,0 days 00:01:41.750630,min,16,0.002713248701701012,5,18,bell,COMPLETE
60,0.0024902471341192722,2025-07-17 16:16:38.906487,2025-07-17 16:18:39.212987,0 days 00:02:00.306500,prod,16,0.005739664373295681,6,23,bell,COMPLETE
61,0.009969203732907772,2025-07-17 16:18:39.213896,2025-07-17 16:20:18.738488,0 days 00:01:39.524592,prod,16,0.004653561170295035,5,17,bell,COMPLETE
62,0.0005579136777669191,2025-07-17 16:20:18.739418,2025-07-17 16:22:08.875302,0 days 00:01:50.135884,prod,16,0.008360663017400134,5,20,bell,COMPLETE
63,0.0005003759288229048,2025-07-17 16:22:08.876225,2025-07-17 16:24:03.292579,0 days 00:01:54.416354,prod,16,0.008151261642865148,5,21,bell,COMPLETE
64,0.0006545811193063855,2025-07-17 16:24:03.293525,2025-07-17 16:26:00.754460,0 days 00:01:57.460935,prod,16,0.006094699688194278,6,21,bell,COMPLETE
65,0.03152499347925186,2025-07-17 16:26:00.755390,2025-07-17 16:28:12.680908,0 days 00:02:11.925518,prod,16,0.009177211491535829,8,25,bell,COMPLETE
66,0.022707780823111534,2025-07-17 16:28:12.681892,2025-07-17 16:29:00.519384,0 days 00:00:47.837492,min,64,0.006640698538309436,6,24,bell,COMPLETE
67,0.016464347019791603,2025-07-17 16:29:00.520126,2025-07-17 16:30:59.052854,0 days 00:01:58.532728,min,16,0.003519547162836679,7,23,sigmoid,COMPLETE
68,1.1560235023498535,2025-07-17 16:30:59.053809,2025-07-17 16:32:08.017080,0 days 00:01:08.963271,min,32,1.0602130652839487e-05,8,21,bell,COMPLETE
69,0.0004410931724123657,2025-07-17 16:32:08.018075,2025-07-17 16:33:39.424333,0 days 00:01:31.406258,prod,16,0.009723250157169195,7,14,gaussian,COMPLETE
70,0.058749523013830185,2025-07-17 16:33:39.425280,2025-07-17 16:35:16.293564,0 days 00:01:36.868284,prod,16,0.008581148145058554,9,14,gaussian,COMPLETE
71,0.00041065874393098056,2025-07-17 16:35:16.294582,2025-07-17 16:36:44.316796,0 days 00:01:28.022214,prod,16,0.009895863888575001,7,12,gaussian,COMPLETE
