number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
55,0.002372934017330408,2025-07-17 15:41:06.804974,2025-07-17 15:42:17.035325,0 days 00:01:10.230351,min,16,0.009870077508447598,8,14,gaussian,COMPLETE
56,0.046573035418987274,2025-07-17 15:42:17.036148,2025-07-17 15:42:55.836417,0 days 00:00:38.800269,min,32,0.005373952753566802,5,15,gaussian,COMPLETE
57,2.7809767723083496,2025-07-17 15:42:55.837046,2025-07-17 15:44:05.304469,0 days 00:01:09.467423,prod,16,0.0024890062116220035,6,10,gaussian,COMPLETE
58,0.016385221853852272,2025-07-17 15:44:05.305320,2025-07-17 15:45:16.043210,0 days 00:01:10.737890,min,16,0.007710667961825356,7,13,gaussian,COMPLETE
59,0.00499959709122777,2025-07-17 15:45:16.044025,2025-07-17 15:45:35.493380,0 days 00:00:19.449355,min,128,0.006055485459667754,6,16,bell,COMPLETE
60,0.03724253550171852,2025-07-17 15:45:35.493838,2025-07-17 15:46:45.192461,0 days 00:01:09.698623,min,16,0.0005202206515249693,7,12,gaussian,COMPLETE
61,0.0003364878357388079,2025-07-17 15:46:45.193312,2025-07-17 15:47:56.642200,0 days 00:01:11.448888,min,16,0.007087543244023425,7,11,gaussian,COMPLETE
62,1.9408293962478638,2025-07-17 15:47:56.643048,2025-07-17 15:49:08.025237,0 days 00:01:11.382189,min,16,0.0002019440106086137,7,11,gaussian,COMPLETE
63,0.07803350687026978,2025-07-17 15:49:08.026052,2025-07-17 15:50:19.701143,0 days 00:01:11.675091,min,16,0.007378272062576392,7,14,gaussian,COMPLETE
64,0.006159928161650896,2025-07-17 15:50:19.701980,2025-07-17 15:51:28.482685,0 days 00:01:08.780705,min,16,0.003875289841825002,8,12,gaussian,COMPLETE
65,0.1534491628408432,2025-07-17 15:51:28.483507,2025-07-17 15:52:39.013129,0 days 00:01:10.529622,min,16,0.0028664384364640257,7,13,gaussian,COMPLETE
66,0.14568550884723663,2025-07-17 15:52:39.013959,2025-07-17 15:53:08.412711,0 days 00:00:29.398752,prod,64,0.004597830308749423,6,23,sigmoid,COMPLETE
67,0.0004080109065398574,2025-07-17 15:53:08.413340,2025-07-17 15:54:15.126378,0 days 00:01:06.713038,min,16,0.007618999826907538,5,10,gaussian,COMPLETE
68,0.0544285848736763,2025-07-17 15:54:15.127249,2025-07-17 15:54:54.872346,0 days 00:00:39.745097,min,32,0.005646794466452362,8,10,gaussian,COMPLETE
69,0.012781643308699131,2025-07-17 15:54:54.872804,2025-07-17 15:56:02.339977,0 days 00:01:07.467173,min,16,4.102702477139742e-05,6,9,gaussian,COMPLETE
70,0.0022309778723865747,2025-07-17 15:56:02.340819,2025-07-17 15:57:17.520896,0 days 00:01:15.180077,min,16,0.0083445243633645,7,11,bell,COMPLETE
71,0.0009079520823433995,2025-07-17 15:57:17.521754,2025-07-17 15:58:23.271339,0 days 00:01:05.749585,min,16,0.0072180559316247506,5,12,gaussian,COMPLETE
72,0.0005659019225277007,2025-07-17 15:58:23.272169,2025-07-17 15:59:30.119521,0 days 00:01:06.847352,min,16,0.00995534924021766,5,10,gaussian,COMPLETE
