number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
59,0.2528318166732788,2025-07-13 15:32:15.722117,2025-07-13 15:32:33.540100,0 days 00:00:17.817983,relu,prod,64,0.002049498948352918,6,11,sigmoid,COMPLETE
60,1.707970380783081,2025-07-13 15:32:33.540503,2025-07-13 15:33:27.907244,0 days 00:00:54.366741,relu,min,16,0.00867229693227568,7,16,sigmoid,COMPLETE
61,0.15901237726211548,2025-07-13 15:33:27.907881,2025-07-13 15:34:23.171225,0 days 00:00:55.263344,relu,prod,16,0.003656867975752904,8,8,sigmoid,COMPLETE
62,0.23766839504241943,2025-07-13 15:34:23.171855,2025-07-13 15:35:18.437134,0 days 00:00:55.265279,relu,prod,16,0.003205899760586191,8,8,sigmoid,COMPLETE
63,0.11258316040039062,2025-07-13 15:35:18.437768,2025-07-13 15:36:11.203767,0 days 00:00:52.765999,relu,prod,16,0.0061975644488433314,7,5,sigmoid,COMPLETE
64,0.2196294516324997,2025-07-13 15:36:11.204400,2025-07-13 15:37:09.479038,0 days 00:00:58.274638,relu,prod,16,0.004577129087873667,9,10,sigmoid,COMPLETE
65,0.009584333747625351,2025-07-13 15:37:09.479670,2025-07-13 15:38:05.998813,0 days 00:00:56.519143,relu,prod,16,0.005594157465710745,8,9,gaussian,COMPLETE
66,0.2434319704771042,2025-07-13 15:38:05.999446,2025-07-13 15:39:05.039590,0 days 00:00:59.040144,relu,prod,16,0.0007828368672939415,7,20,gaussian,COMPLETE
67,1.5364781618118286,2025-07-13 15:39:05.040231,2025-07-13 15:39:34.478673,0 days 00:00:29.438442,relu,prod,32,0.005782818463751175,5,9,gaussian,COMPLETE
68,0.13300810754299164,2025-07-13 15:39:34.479145,2025-07-13 15:40:29.955882,0 days 00:00:55.476737,identity,min,16,0.0012210699338655274,8,11,gaussian,COMPLETE
69,0.27842843532562256,2025-07-13 15:40:29.956514,2025-07-13 15:40:48.875493,0 days 00:00:18.918979,relu,prod,64,0.0003637169070171579,9,9,gaussian,COMPLETE
