number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
53,0.00029910416924394667,2025-07-12 18:07:53.233234,2025-07-12 18:10:07.771186,0 days 00:02:14.537952,identity,16,47,0.002867795072711664,22,COMPLETE
54,0.000608358473982662,2025-07-12 18:10:07.772089,2025-07-12 18:12:13.269089,0 days 00:02:05.497000,identity,16,35,0.0028691401576192216,22,COMPLETE
55,0.0003404546878300607,2025-07-12 18:12:13.269955,2025-07-12 18:14:26.399932,0 days 00:02:13.129977,identity,16,88,0.003466080082062132,15,COMPLETE
56,0.00040841256850399077,2025-07-12 18:14:26.400790,2025-07-12 18:15:43.231528,0 days 00:01:16.830738,identity,32,41,0.002010122141113058,18,COMPLETE
57,0.00038905840483494103,2025-07-12 18:15:43.232391,2025-07-12 18:17:35.257943,0 days 00:01:52.025552,relu,16,27,0.0006246193360536326,20,COMPLETE
58,0.0005611295928247273,2025-07-12 18:17:35.258837,2025-07-12 18:19:27.746346,0 days 00:01:52.487509,identity,16,16,0.00415570556030456,22,COMPLETE
59,0.00040240801172330976,2025-07-12 18:19:27.747232,2025-07-12 18:21:57.320301,0 days 00:02:29.573069,identity,16,72,0.00023880956774358588,21,COMPLETE
60,0.00040209098369814456,2025-07-12 18:21:57.321159,2025-07-12 18:22:54.500858,0 days 00:00:57.179699,identity,64,64,0.0026792278472625064,19,COMPLETE
61,0.00030272346339188516,2025-07-12 18:22:54.501509,2025-07-12 18:25:09.703993,0 days 00:02:15.202484,identity,16,48,0.004843151714664922,24,COMPLETE
62,0.00035110674798488617,2025-07-12 18:25:09.704830,2025-07-12 18:27:17.248806,0 days 00:02:07.543976,identity,16,31,0.0030846244109555177,23,COMPLETE
63,0.00044507524580694735,2025-07-12 18:27:17.249677,2025-07-12 18:29:50.564107,0 days 00:02:33.314430,identity,16,59,0.00010428278975941967,25,COMPLETE
64,0.00032784155337139964,2025-07-12 18:29:50.564969,2025-07-12 18:32:11.516382,0 days 00:02:20.951413,identity,16,53,0.004144879246734624,24,COMPLETE
65,0.0004664916777983308,2025-07-12 18:32:11.518199,2025-07-12 18:34:27.416225,0 days 00:02:15.898026,identity,16,45,0.006377519741013654,23,COMPLETE
66,0.0003326257865410298,2025-07-12 18:34:27.417077,2025-07-12 18:36:31.671895,0 days 00:02:04.254818,identity,16,51,0.0016231758729879453,21,COMPLETE
67,0.00039163080509752035,2025-07-12 18:36:31.672752,2025-07-12 18:38:01.872254,0 days 00:01:30.199502,identity,32,42,0.0011261747246088577,22,COMPLETE
68,0.0003081015311181545,2025-07-12 18:38:01.873094,2025-07-12 18:40:11.201671,0 days 00:02:09.328577,relu,16,62,0.0022456339619091052,20,COMPLETE
69,0.0003628996491897851,2025-07-12 18:40:11.202526,2025-07-12 18:43:52.581293,0 days 00:03:41.378767,identity,16,77,0.004878838481228419,22,COMPLETE
