number,value,datetime_start,datetime_complete,duration,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
67,0.010119287297129631,2025-07-17 19:47:36.427552,2025-07-17 19:50:35.727640,0 days 00:02:59.300088,prod,16,0.006569947092470581,5,17,gaussian,COMPLETE
68,0.0003133590507786721,2025-07-17 19:50:35.728502,2025-07-17 19:53:50.434124,0 days 00:03:14.705622,prod,16,0.007448626754476587,5,19,gaussian,COMPLETE
69,0.0005611223168671131,2025-07-17 19:53:50.435066,2025-07-17 19:57:05.152363,0 days 00:03:14.717297,prod,16,0.00985220868031225,5,19,gaussian,COMPLETE
70,0.06837784498929977,2025-07-17 19:57:05.153313,2025-07-17 20:00:27.527263,0 days 00:03:22.373950,prod,16,0.003359513135834468,5,20,gaussian,COMPLETE
71,0.001745752990245819,2025-07-17 20:00:27.528182,2025-07-17 20:03:19.258630,0 days 00:02:51.730448,prod,16,0.007267959335590733,5,16,gaussian,COMPLETE
72,0.0013851883122697473,2025-07-17 20:03:19.259560,2025-07-17 20:06:18.685925,0 days 00:02:59.426365,prod,16,0.005323317149270954,5,17,gaussian,COMPLETE
73,0.0002629065129440278,2025-07-17 20:06:18.686830,2025-07-17 20:09:25.859185,0 days 00:03:07.172355,prod,16,0.007931992568296358,5,18,gaussian,COMPLETE
74,0.0005395260523073375,2025-07-17 20:09:25.860153,2025-07-17 20:12:33.110957,0 days 00:03:07.250804,prod,16,0.007876959496719639,5,18,gaussian,COMPLETE
75,0.002974744886159897,2025-07-17 20:12:33.111905,2025-07-17 20:15:47.881274,0 days 00:03:14.769369,prod,16,0.0045881236172578095,5,19,gaussian,COMPLETE
76,0.27649620175361633,2025-07-17 20:15:47.882204,2025-07-17 20:18:54.974774,0 days 00:03:07.092570,prod,16,0.0056660287137183804,5,18,gaussian,COMPLETE
77,0.000860000669490546,2025-07-17 20:18:54.975713,2025-07-17 20:22:17.194483,0 days 00:03:22.218770,prod,16,0.008524103303605896,5,20,gaussian,COMPLETE
78,0.00033415123471058905,2025-07-17 20:22:17.195405,2025-07-17 20:25:16.543582,0 days 00:02:59.348177,prod,16,0.006181844173948496,5,17,gaussian,COMPLETE
79,0.193433478474617,2025-07-17 20:25:16.544519,2025-07-17 20:26:16.596560,0 days 00:01:00.052041,prod,64,0.0035056483208542027,5,17,gaussian,COMPLETE
80,0.016557617112994194,2025-07-17 20:26:16.597234,2025-07-17 20:28:45.169300,0 days 00:02:28.572066,prod,16,0.0029092130781469597,5,13,gaussian,COMPLETE
81,0.00039805585402064025,2025-07-17 20:28:45.170269,2025-07-17 20:31:44.425598,0 days 00:02:59.255329,prod,16,0.006202706505492585,5,17,gaussian,COMPLETE
82,0.005894103553146124,2025-07-17 20:31:44.426491,2025-07-17 20:34:59.251839,0 days 00:03:14.825348,prod,16,0.005399262107870201,5,19,gaussian,COMPLETE
83,3.2798399925231934,2025-07-17 20:34:59.252795,2025-07-17 20:37:51.060827,0 days 00:02:51.808032,prod,16,1.119205179447966e-05,5,16,gaussian,COMPLETE
84,0.00044559818343259394,2025-07-17 20:37:51.061735,2025-07-17 20:40:50.506870,0 days 00:02:59.445135,prod,16,0.00822880406752469,5,17,gaussian,COMPLETE
85,0.0794338658452034,2025-07-17 20:40:50.507789,2025-07-17 20:43:34.594580,0 days 00:02:44.086791,prod,16,0.004307911619247513,5,15,gaussian,COMPLETE
86,0.0009486565249972045,2025-07-17 20:43:34.595518,2025-07-17 20:46:10.933991,0 days 00:02:36.338473,prod,16,0.00618181846158297,5,14,gaussian,COMPLETE
87,0.0005749938427470624,2025-07-17 20:46:10.934887,2025-07-17 20:49:02.659002,0 days 00:02:51.724115,prod,16,0.009324828117474617,5,16,gaussian,COMPLETE
88,0.1394960880279541,2025-07-17 20:49:02.659929,2025-07-17 20:51:23.641692,0 days 00:02:20.981763,prod,16,0.004770574705589902,5,12,gaussian,COMPLETE
89,0.46870365738868713,2025-07-17 20:51:23.642606,2025-07-17 20:52:18.489154,0 days 00:00:54.846548,prod,64,0.007664123940209431,5,15,gaussian,COMPLETE
90,0.012514091096818447,2025-07-17 20:52:18.489844,2025-07-17 20:54:47.096356,0 days 00:02:28.606512,prod,16,0.003207656128163671,5,13,gaussian,COMPLETE
91,0.014627614989876747,2025-07-17 20:54:47.097279,2025-07-17 20:57:54.186665,0 days 00:03:07.089386,prod,16,0.006443821171691427,5,18,gaussian,COMPLETE
92,0.0018267609411850572,2025-07-17 20:57:54.187787,2025-07-17 21:01:01.413038,0 days 00:03:07.225251,prod,16,0.007174319002303485,5,18,gaussian,COMPLETE
