number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,params_shuffle,params_weight_decay,state
66,4.184093086223584e-06,2025-07-10 20:59:37.992011,2025-07-10 21:00:08.418927,0 days 00:00:30.426916,relu,min,16,0.007571898893220199,5,sigmoid,False,1.121533377470967e-05,COMPLETE
67,1.3225219249725342,2025-07-10 21:00:08.419538,2025-07-10 21:00:37.856752,0 days 00:00:29.437214,relu,prod,16,0.0049797055335301195,3,gaussian,False,1.9648353686054628e-05,COMPLETE
68,0.006693018600344658,2025-07-10 21:00:37.857267,2025-07-10 21:00:46.439599,0 days 00:00:08.582332,relu,prod,64,0.0015778583972500021,2,sigmoid,False,1.4092173565717325e-05,COMPLETE
69,0.019870350137352943,2025-07-10 21:00:46.440053,2025-07-10 21:00:52.529524,0 days 00:00:06.089471,relu,prod,128,0.00875260779885705,4,gaussian,False,1.1515960753837897e-05,COMPLETE
70,0.0004244149022269994,2025-07-10 21:00:52.529892,2025-07-10 21:01:20.500661,0 days 00:00:27.970769,identity,prod,16,0.0003593064555742194,3,sigmoid,True,1.0084719464872634e-05,COMPLETE
71,4.214407454128377e-06,2025-07-10 21:01:20.501241,2025-07-10 21:01:51.525349,0 days 00:00:31.024108,relu,prod,16,0.006928421218598843,4,gaussian,False,1.5002069841713897e-05,COMPLETE
72,4.011370492662536e-06,2025-07-10 21:01:51.525971,2025-07-10 21:02:22.614035,0 days 00:00:31.088064,relu,prod,16,0.009853613956427624,4,gaussian,False,1.3584875997515705e-05,COMPLETE
73,4.113658178539481e-06,2025-07-10 21:02:22.614643,2025-07-10 21:02:53.617348,0 days 00:00:31.002705,relu,prod,16,0.009993572517075014,4,gaussian,False,1.3176421243724424e-05,COMPLETE
74,4.1183984649251215e-06,2025-07-10 21:02:53.617975,2025-07-10 21:03:23.002566,0 days 00:00:29.384591,relu,prod,16,0.005993894616799441,3,gaussian,False,1.8353294232121972e-05,COMPLETE
75,1.3225219249725342,2025-07-10 21:03:23.003180,2025-07-10 21:03:54.104277,0 days 00:00:31.101097,relu,prod,16,0.00887480719618138,4,gaussian,False,1.6418817288873827e-05,COMPLETE
76,0.00044472876470535994,2025-07-10 21:03:54.104886,2025-07-10 21:04:15.073214,0 days 00:00:20.968328,relu,min,32,0.007434736751682901,7,bell,False,2.1501680352063315e-05,COMPLETE
77,0.7267271280288696,2025-07-10 21:04:15.073760,2025-07-10 21:04:25.412537,0 days 00:00:10.338777,relu,prod,64,0.0008652919008552882,5,gaussian,False,2.59010333371485e-05,COMPLETE
78,7.016860035946593e-05,2025-07-10 21:04:25.413008,2025-07-10 21:04:53.636800,0 days 00:00:28.223792,relu,prod,16,0.001182155483704607,3,sigmoid,False,1.3355558406147851e-05,COMPLETE
79,4.069787337357411e-06,2025-07-10 21:04:53.637340,2025-07-10 21:05:20.189741,0 days 00:00:26.552401,relu,prod,16,0.009137546151868375,2,sigmoid,True,3.386159129117386e-05,COMPLETE
80,1.2971018552780151,2025-07-10 21:05:20.190212,2025-07-10 21:05:30.096619,0 days 00:00:09.906407,relu,prod,64,0.006654943617155403,4,gaussian,False,1.1193363455063634e-05,COMPLETE
81,4.1360258364875335e-06,2025-07-10 21:05:30.097222,2025-07-10 21:05:56.652163,0 days 00:00:26.554941,relu,prod,16,0.008992154663053548,2,sigmoid,True,4.83099005085398e-05,COMPLETE
82,4.138991698710015e-06,2025-07-10 21:05:56.652778,2025-07-10 21:06:23.182025,0 days 00:00:26.529247,relu,prod,16,0.007413809624881332,2,sigmoid,True,3.690365016275878e-05,COMPLETE
83,4.137397354497807e-06,2025-07-10 21:06:23.182616,2025-07-10 21:06:49.735874,0 days 00:00:26.553258,relu,prod,16,0.008847649032335073,2,sigmoid,True,5.905534014045575e-05,COMPLETE
84,4.135282779316185e-06,2025-07-10 21:06:49.736461,2025-07-10 21:07:18.141041,0 days 00:00:28.404580,relu,prod,16,0.005532102935285072,3,sigmoid,True,8.942970504614693e-05,COMPLETE
