number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
72,8.22017409518594e-06,2025-07-15 14:23:56.774334,2025-07-15 14:26:11.561447,0 days 00:02:14.787113,relu,16,121,0.0003456947062556323,24,COMPLETE
73,1.3161295652389526,2025-07-15 14:26:11.562330,2025-07-15 14:28:37.230818,0 days 00:02:25.668488,relu,16,128,0.0007622941170157511,25,COMPLETE
74,1.0028426004282665e-05,2025-07-15 14:28:37.231639,2025-07-15 14:29:50.631761,0 days 00:01:13.400122,relu,16,116,0.0002594243453853638,5,COMPLETE
75,0.0020662564784288406,2025-07-15 14:29:50.632484,2025-07-15 14:31:11.835789,0 days 00:01:21.203305,relu,128,112,0.0005206632292447455,24,COMPLETE
76,1.2234357200213708e-05,2025-07-15 14:31:11.836992,2025-07-15 14:34:06.153154,0 days 00:02:54.316162,identity,16,119,0.00021331261748499538,22,COMPLETE
77,1.711387449176982e-05,2025-07-15 14:34:06.154179,2025-07-15 14:36:35.465664,0 days 00:02:29.311485,identity,16,123,0.0001373167524266519,25,COMPLETE
78,1.315966010093689,2025-07-15 14:36:35.466536,2025-07-15 14:37:51.898483,0 days 00:01:16.431947,relu,16,41,0.0004188726086246331,23,COMPLETE
79,0.0028564513195306063,2025-07-15 14:37:51.899439,2025-07-15 14:39:02.159052,0 days 00:01:10.259613,identity,64,107,0.00028182148180512414,24,COMPLETE
80,5.737222636525985e-06,2025-07-15 14:39:02.159976,2025-07-15 14:40:58.460024,0 days 00:01:56.300048,identity,16,103,0.00035446005246303816,22,COMPLETE
81,2.0687590222223662e-05,2025-07-15 14:40:58.460942,2025-07-15 14:42:51.860605,0 days 00:01:53.399663,identity,16,102,0.00035375590683995987,21,COMPLETE
82,9.674974535300862e-06,2025-07-15 14:42:51.861451,2025-07-15 14:44:58.941524,0 days 00:02:07.080073,identity,16,110,0.0006304119147300803,23,COMPLETE
83,1.778979458322283e-05,2025-07-15 14:44:58.942341,2025-07-15 14:47:09.837619,0 days 00:02:10.895278,identity,16,126,0.0010447486941036635,21,COMPLETE
84,8.959017577581108e-06,2025-07-15 14:47:09.838526,2025-07-15 14:49:05.114071,0 days 00:01:55.275545,identity,16,98,0.0002322183663835803,22,COMPLETE
85,4.907486982119735e-06,2025-07-15 14:49:05.115002,2025-07-15 14:51:22.295308,0 days 00:02:17.180306,identity,16,115,0.0005591886054800797,25,COMPLETE
86,7.099662980181165e-06,2025-07-15 14:51:22.296212,2025-07-15 14:53:27.413907,0 days 00:02:05.117695,identity,16,104,0.000554074142659054,25,COMPLETE
87,1.3035470146860462e-05,2025-07-15 14:53:27.414742,2025-07-15 14:55:35.279268,0 days 00:02:07.864526,identity,16,114,0.0007234561464977645,23,COMPLETE
88,1.4137625839794055e-05,2025-07-15 14:55:35.280161,2025-07-15 14:57:13.213673,0 days 00:01:37.933512,identity,32,117,0.0008564355227156631,25,COMPLETE
89,1.3161295652389526,2025-07-15 14:57:13.214397,2025-07-15 14:59:10.669594,0 days 00:01:57.455197,relu,16,101,0.0004912289345286451,20,COMPLETE
90,0.002596143167465925,2025-07-15 14:59:10.670499,2025-07-15 14:59:55.379360,0 days 00:00:44.708861,identity,128,59,0.00036585250437770313,24,COMPLETE
91,6.1391574490698986e-06,2025-07-15 14:59:55.379997,2025-07-15 15:02:07.592304,0 days 00:02:12.212307,identity,16,120,0.0004654420611258754,24,COMPLETE
92,5.2119748943368904e-06,2025-07-15 15:02:07.593204,2025-07-15 15:04:27.882577,0 days 00:02:20.289373,identity,16,119,0.0003259835605531245,25,COMPLETE
93,6.550510533998022e-06,2025-07-15 15:04:27.883482,2025-07-15 15:06:46.049514,0 days 00:02:18.166032,identity,16,111,0.00033601952010195056,25,COMPLETE
94,8.348204573849216e-06,2025-07-15 15:06:46.050394,2025-07-15 15:08:49.244461,0 days 00:02:03.194067,identity,16,95,0.0004197257825784267,23,COMPLETE
95,9.163696631731e-06,2025-07-15 15:08:49.245357,2025-07-15 15:10:54.430655,0 days 00:02:05.185298,identity,16,105,0.00019443116230834353,25,COMPLETE
96,1.0509398634894751e-05,2025-07-15 15:10:54.431571,2025-07-15 15:13:07.210905,0 days 00:02:12.779334,identity,16,115,0.00028093200373240535,24,COMPLETE
97,7.155481853260426e-06,2025-07-15 15:13:07.211882,2025-07-15 15:15:21.111273,0 days 00:02:13.899391,identity,16,128,0.000598714297635071,22,COMPLETE
98,8.155949217325542e-06,2025-07-15 15:15:21.112218,2025-07-15 15:17:31.717029,0 days 00:02:10.604811,identity,16,108,0.0003206048779630406,25,COMPLETE
99,0.0019384484039619565,2025-07-15 15:17:31.717957,2025-07-15 15:18:42.970913,0 days 00:01:11.252956,identity,64,119,0.00039911390921894616,21,COMPLETE
100,7.653538887097966e-06,2025-07-15 15:18:42.971828,2025-07-15 15:20:27.188729,0 days 00:01:44.216901,identity,16,125,0.000702487956696912,13,COMPLETE
101,5.337934908311581e-06,2025-07-15 15:20:27.189673,2025-07-15 15:22:41.162129,0 days 00:02:13.972456,identity,16,117,0.0004815374955892116,24,COMPLETE
102,9.054724614543375e-06,2025-07-15 15:22:41.163022,2025-07-15 15:24:42.817370,0 days 00:02:01.654348,identity,16,112,0.0005297883983459732,23,COMPLETE
103,7.616386483277893e-06,2025-07-15 15:24:42.818230,2025-07-15 15:26:55.573656,0 days 00:02:12.755426,identity,16,116,0.0008117785256441106,24,COMPLETE
104,7.88052329880884e-06,2025-07-15 15:26:55.574534,2025-07-15 15:29:13.611618,0 days 00:02:18.037084,identity,16,121,0.0003832443519805955,25,COMPLETE
105,3.056591231143102e-05,2025-07-15 15:29:13.612517,2025-07-15 15:30:16.140354,0 days 00:01:02.527837,identity,16,18,0.0006674050320422231,24,COMPLETE
106,1.6375088307540864e-05,2025-07-15 15:30:16.141246,2025-07-15 15:32:22.291497,0 days 00:02:06.150251,identity,16,109,0.000573144223054247,23,COMPLETE
107,1.3161295652389526,2025-07-15 15:32:22.292410,2025-07-15 15:34:39.167942,0 days 00:02:16.875532,relu,16,114,0.0002954134852792746,25,COMPLETE
108,0.0002001839311560616,2025-07-15 15:34:39.168826,2025-07-15 15:35:56.518359,0 days 00:01:17.349533,identity,32,118,0.0004980327975953547,17,COMPLETE
109,2.221192335127853e-05,2025-07-15 15:35:56.519092,2025-07-15 15:37:28.372207,0 days 00:01:31.853115,identity,16,126,0.0010251378123323459,9,COMPLETE
110,6.24009408056736e-06,2025-07-15 15:37:28.373140,2025-07-15 15:39:44.321431,0 days 00:02:15.948291,identity,16,123,0.00043539726616652645,24,COMPLETE
111,1.0210336768068373e-05,2025-07-15 15:39:44.322372,2025-07-15 15:41:57.649438,0 days 00:02:13.327066,identity,16,121,0.0004485431176880913,24,COMPLETE
112,1.020718536892673e-05,2025-07-15 15:41:57.650323,2025-07-15 15:44:09.305296,0 days 00:02:11.654973,identity,16,120,0.0003741773011475631,24,COMPLETE
113,8.077765414782334e-06,2025-07-15 15:44:09.306208,2025-07-15 15:46:10.162806,0 days 00:02:00.856598,identity,16,112,0.00046942123300985786,23,COMPLETE
114,7.838846613594797e-06,2025-07-15 15:46:10.163737,2025-07-15 15:48:34.835309,0 days 00:02:24.671572,identity,16,106,0.0006116973218730471,25,COMPLETE
