number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
80,0.025737443938851357,2025-07-15 00:57:45.483806,2025-07-15 01:00:17.630308,0 days 00:02:32.146502,identity,min,0.0052545580772446485,5,13,bell,COMPLETE
81,0.06640403717756271,2025-07-15 01:00:17.631236,2025-07-15 01:03:25.743651,0 days 00:03:08.112415,identity,min,0.006533208199411307,6,16,bell,COMPLETE
82,0.014943374320864677,2025-07-15 01:03:25.744549,2025-07-15 01:08:00.379454,0 days 00:04:34.634905,identity,min,0.007387069836550708,9,25,bell,COMPLETE
83,7.665711746085435e-05,2025-07-15 01:08:00.380315,2025-07-15 01:11:29.000836,0 days 00:03:28.620521,identity,min,0.008892588856889405,7,18,bell,COMPLETE
84,0.00011498072854010388,2025-07-15 01:11:29.001710,2025-07-15 01:15:55.485571,0 days 00:04:26.483861,identity,min,0.006156925201961763,9,24,bell,COMPLETE
85,3.4567119655548595e-06,2025-07-15 01:15:55.486480,2025-07-15 01:18:57.964019,0 days 00:03:02.477539,identity,min,0.007724731594211787,7,15,bell,COMPLETE
86,6.111800757935271e-06,2025-07-15 01:18:57.964937,2025-07-15 01:21:31.895913,0 days 00:02:33.930976,identity,min,0.007558904760016454,7,11,bell,COMPLETE
87,3.6204896787239704e-06,2025-07-15 01:21:31.896811,2025-07-15 01:24:34.758287,0 days 00:03:02.861476,identity,min,0.00897527706203498,7,15,bell,COMPLETE
88,3.728946921910392e-06,2025-07-15 01:24:34.759245,2025-07-15 01:27:29.234127,0 days 00:02:54.474882,identity,min,0.0038245490007966588,7,14,bell,COMPLETE
89,3.5367236250749556e-06,2025-07-15 01:27:29.235054,2025-07-15 01:30:45.664364,0 days 00:03:16.429310,identity,min,0.009919729395053317,6,17,bell,COMPLETE
90,0.000400583230657503,2025-07-15 01:30:45.665283,2025-07-15 01:33:57.362685,0 days 00:03:11.697402,identity,min,0.008058557565101793,6,17,sigmoid,COMPLETE
91,2.396784293523524e-05,2025-07-15 01:33:57.363620,2025-07-15 01:38:05.244739,0 days 00:04:07.881119,identity,min,0.009232484686304703,6,23,bell,COMPLETE
92,3.566539362509502e-06,2025-07-15 01:38:05.245621,2025-07-15 01:41:13.514635,0 days 00:03:08.269014,identity,min,0.00981131357827013,6,16,bell,COMPLETE
93,4.480677034734981e-06,2025-07-15 01:41:13.515553,2025-07-15 01:44:21.726511,0 days 00:03:08.210958,identity,min,0.009938836846531334,6,16,bell,COMPLETE
94,3.7958159282425186e-06,2025-07-15 01:44:21.727403,2025-07-15 01:47:21.294252,0 days 00:02:59.566849,identity,min,0.007695728044805548,6,15,bell,COMPLETE
95,4.1715797124197707e-05,2025-07-15 01:47:21.295154,2025-07-15 01:50:20.973793,0 days 00:02:59.678639,identity,min,0.005850961182916739,6,15,bell,COMPLETE
96,7.305260805878788e-05,2025-07-15 01:50:20.974737,2025-07-15 01:53:11.855025,0 days 00:02:50.880288,identity,min,0.006679424067706532,6,14,bell,COMPLETE
97,1.2065332157362718e-05,2025-07-15 01:53:11.855958,2025-07-15 01:56:19.036273,0 days 00:03:07.180315,relu,min,0.008471352529957682,5,18,gaussian,COMPLETE
98,4.0944910324469674e-06,2025-07-15 01:56:19.037189,2025-07-15 01:59:35.817155,0 days 00:03:16.779966,identity,min,0.00999594394913569,6,17,bell,COMPLETE
99,0.00048769061686471105,2025-07-15 01:59:35.818068,2025-07-15 02:02:18.197720,0 days 00:02:42.379652,identity,min,0.0011417846147092892,6,13,bell,COMPLETE
100,3.6480978451436386e-06,2025-07-15 02:02:18.198643,2025-07-15 02:05:26.087628,0 days 00:03:07.888985,identity,min,0.007207408589709362,6,16,bell,COMPLETE
101,8.875102139427327e-06,2025-07-15 02:05:26.088553,2025-07-15 02:09:03.299309,0 days 00:03:37.210756,identity,min,0.00832389507865483,7,19,bell,COMPLETE
102,0.02242034487426281,2025-07-15 02:09:03.300211,2025-07-15 02:12:02.868174,0 days 00:02:59.567963,identity,min,0.008919638380648994,6,15,bell,COMPLETE
103,6.0926277001271956e-06,2025-07-15 02:12:02.869100,2025-07-15 02:14:56.735831,0 days 00:02:53.866731,identity,min,0.007446962047099468,7,14,bell,COMPLETE
104,3.67083680430369e-06,2025-07-15 02:14:56.736708,2025-07-15 02:19:24.584451,0 days 00:04:27.847743,identity,min,0.006481926891787357,8,25,bell,COMPLETE
105,9.182494068227243e-06,2025-07-15 02:19:24.585369,2025-07-15 02:23:27.280197,0 days 00:04:02.694828,identity,min,0.005242595338188063,7,22,bell,COMPLETE
106,3.913030468538636e-06,2025-07-15 02:23:27.281155,2025-07-15 02:26:00.769151,0 days 00:02:33.487996,identity,min,0.009287214364882066,6,12,bell,COMPLETE
107,3.57841668119363e-06,2025-07-15 02:26:00.770112,2025-07-15 02:28:46.281085,0 days 00:02:45.510973,identity,min,0.007896712313588568,8,13,bell,COMPLETE
108,6.744712663930841e-06,2025-07-15 02:28:46.281984,2025-07-15 02:31:40.472330,0 days 00:02:54.190346,identity,min,0.00585984968933114,8,14,bell,COMPLETE
109,3.406417590667843e-06,2025-07-15 02:31:40.473261,2025-07-15 02:34:52.041020,0 days 00:03:11.567759,identity,min,0.008086070748399177,8,16,bell,COMPLETE
110,0.007119232323020697,2025-07-15 02:34:52.041911,2025-07-15 02:37:58.073175,0 days 00:03:06.031264,identity,min,0.0044395297139046466,8,16,sigmoid,COMPLETE
111,3.6380504297994776e-06,2025-07-15 02:37:58.074106,2025-07-15 02:40:43.827624,0 days 00:02:45.753518,identity,min,0.007861133822216815,8,13,bell,COMPLETE
112,3.4823649457393913e-06,2025-07-15 02:40:43.828526,2025-07-15 02:44:04.144115,0 days 00:03:20.315589,identity,min,0.008276287589599758,8,17,bell,COMPLETE
113,0.0018073862884193659,2025-07-15 02:44:04.145072,2025-07-15 02:47:32.962858,0 days 00:03:28.817786,identity,min,0.00702573934925459,8,18,bell,COMPLETE
