number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
86,1.7758799003786407e-05,2025-07-04 12:05:13.759470,2025-07-04 12:05:22.305626,0 days 00:00:08.546156,relu,64,69,0.0025740024664902203,20,True,2.0834893746964705e-05,COMPLETE
87,1.1605790859903209e-05,2025-07-04 12:05:22.305926,2025-07-04 12:05:30.267323,0 days 00:00:07.961397,relu,64,76,0.0009824588627200658,15,False,1.1464620721686654e-05,COMPLETE
88,1.5980631360434927e-05,2025-07-04 12:05:30.267614,2025-07-04 12:05:37.220129,0 days 00:00:06.952515,relu,64,55,0.0007392992970560634,14,False,1.005373191617241e-05,COMPLETE
89,1.434152181900572e-05,2025-07-04 12:05:37.220420,2025-07-04 12:05:45.866541,0 days 00:00:08.646121,relu,64,88,0.001472729270077209,16,False,3.289821414136125e-05,COMPLETE
90,1.1441929927968886e-05,2025-07-04 12:05:45.866845,2025-07-04 12:06:04.286757,0 days 00:00:18.419912,identity,16,71,0.0005880639327278878,13,True,1.3108237908110957e-05,COMPLETE
91,7.2250759330927394e-06,2025-07-04 12:06:04.287028,2025-07-04 12:06:15.590123,0 days 00:00:11.303095,relu,32,80,0.000777221648063111,14,False,1.506981816892883e-05,COMPLETE
92,7.634892244823277e-05,2025-07-04 12:06:15.590405,2025-07-04 12:06:24.098236,0 days 00:00:08.507831,relu,32,10,0.0008766166295650109,14,False,1.6344539790313587e-05,COMPLETE
93,7.731580808467697e-06,2025-07-04 12:06:24.098490,2025-07-04 12:06:35.574720,0 days 00:00:11.476230,relu,32,73,0.0011067680345678219,15,False,1.957983721149728e-05,COMPLETE
94,7.829868991393596e-06,2025-07-04 12:06:35.575012,2025-07-04 12:06:47.515540,0 days 00:00:11.940528,relu,32,82,0.0013359396283264583,15,False,1.397923264603057e-05,COMPLETE
95,9.621712706575636e-06,2025-07-04 12:06:47.515837,2025-07-04 12:06:57.926683,0 days 00:00:10.410846,relu,32,63,0.0017416427176943255,13,False,1.7733093908737345e-05,COMPLETE
96,5.1708419050555676e-05,2025-07-04 12:06:57.926971,2025-07-04 12:07:08.977093,0 days 00:00:11.050122,relu,32,67,0.0009924586120675575,14,False,2.1780885784182726e-05,COMPLETE
97,5.900584801565856e-05,2025-07-04 12:07:08.977383,2025-07-04 12:07:14.927231,0 days 00:00:05.949848,relu,128,88,0.0005648509653180164,12,False,1.1425762739998967e-05,COMPLETE
98,0.03281765431165695,2025-07-04 12:07:14.927559,2025-07-04 12:07:26.364875,0 days 00:00:11.437316,sigmoid,32,76,0.0007572300988466695,14,False,1.3052975851526073e-05,COMPLETE
99,5.652630989061436e-06,2025-07-04 12:07:26.365167,2025-07-04 12:07:38.587011,0 days 00:00:12.221844,relu,32,95,0.0004659879127765136,13,True,1.5605871886193838e-05,COMPLETE
100,1.7891525203594938e-05,2025-07-04 12:07:38.587299,2025-07-04 12:07:51.590524,0 days 00:00:13.003225,relu,32,106,0.000536195663711015,13,True,1.6572982938293127e-05,COMPLETE
101,1.4618375644204207e-05,2025-07-04 12:07:51.590836,2025-07-04 12:08:04.443589,0 days 00:00:12.852753,relu,32,98,0.00044864895703872816,14,True,1.4650296946056701e-05,COMPLETE
102,2.1688854758394882e-05,2025-07-04 12:08:04.443890,2025-07-04 12:08:16.314617,0 days 00:00:11.870727,relu,32,89,0.0006561127783146944,13,True,2.006100658615345e-05,COMPLETE
103,7.350693977059564e-06,2025-07-04 12:08:16.314912,2025-07-04 12:08:28.174840,0 days 00:00:11.859928,relu,32,95,0.0003932593960813355,12,True,1.101038520562e-05,COMPLETE
104,1.824954233597964e-05,2025-07-04 12:11:36.264936,2025-07-04 12:11:48.287610,0 days 00:00:12.022674,relu,32,84,0.0008798635291442376,15,True,1.2479688729390017e-05,COMPLETE
105,1.2628744116227608e-05,2025-07-04 12:11:48.287896,2025-07-04 12:11:59.934714,0 days 00:00:11.646818,relu,32,86,0.0011666257539757912,13,False,1.4156851051007207e-05,COMPLETE
106,2.8852364266640507e-05,2025-07-04 12:11:59.935026,2025-07-04 12:12:11.306014,0 days 00:00:11.370988,relu,32,73,0.0008296131568888389,14,True,2.3415608973585692e-05,COMPLETE
107,5.701142981706653e-06,2025-07-04 12:12:11.306302,2025-07-04 12:12:23.252536,0 days 00:00:11.946234,identity,32,93,0.00031320336082129636,13,False,1.810055869738119e-05,COMPLETE
