number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
82,0.006060697138309479,2025-07-14 22:26:48.556938,2025-07-14 22:28:20.892864,0 days 00:01:32.335926,identity,prod,0.008970174127522304,8,14,bell,COMPLETE
83,4.400992111186497e-06,2025-07-14 22:28:20.893788,2025-07-14 22:29:50.557350,0 days 00:01:29.663562,identity,prod,0.005144729454656127,8,13,bell,COMPLETE
84,4.405871095514158e-06,2025-07-14 22:29:50.558256,2025-07-14 22:31:18.246092,0 days 00:01:27.687836,identity,prod,0.007406875054549049,8,11,bell,COMPLETE
85,7.476432801922783e-05,2025-07-14 22:31:18.247044,2025-07-14 22:32:48.053859,0 days 00:01:29.806815,identity,prod,0.004213244364560402,9,12,bell,COMPLETE
86,2.3823455194360577e-05,2025-07-14 22:32:48.054771,2025-07-14 22:34:24.377137,0 days 00:01:36.322366,identity,prod,0.0061341402957889365,8,15,bell,COMPLETE
87,1.2505511222116183e-05,2025-07-14 22:34:24.378057,2025-07-14 22:35:55.757402,0 days 00:01:31.379345,relu,min,0.006828895993896757,8,14,bell,COMPLETE
88,0.0001709594507701695,2025-07-14 22:35:55.758327,2025-07-14 22:37:27.845128,0 days 00:01:32.086801,identity,prod,0.008161794664797016,7,16,sigmoid,COMPLETE
89,3.5974574075225974e-06,2025-07-14 22:37:27.846076,2025-07-14 22:38:57.483201,0 days 00:01:29.637125,identity,prod,0.004636168923655446,8,13,bell,COMPLETE
90,4.644912678486435e-06,2025-07-14 22:38:57.484126,2025-07-14 22:40:32.610405,0 days 00:01:35.126279,identity,prod,0.00491860972447544,8,15,bell,COMPLETE
91,0.09415523707866669,2025-07-14 22:40:32.611315,2025-07-14 22:42:02.318502,0 days 00:01:29.707187,identity,prod,0.005648379680662233,8,13,bell,COMPLETE
92,3.996958184870891e-06,2025-07-14 22:42:02.319385,2025-07-14 22:43:29.311098,0 days 00:01:26.991713,identity,prod,0.009145798690253629,8,12,bell,COMPLETE
93,0.0031427310314029455,2025-07-14 22:43:29.312037,2025-07-14 22:45:02.864552,0 days 00:01:33.552515,identity,prod,0.00399069737485349,8,14,bell,COMPLETE
94,1.5684121535741724e-05,2025-07-14 22:45:02.865420,2025-07-14 22:46:31.818250,0 days 00:01:28.952830,identity,prod,0.004618086576286942,8,11,bell,COMPLETE
95,1.5953559341141954e-05,2025-07-14 22:46:31.819145,2025-07-14 22:47:56.528705,0 days 00:01:24.709560,identity,prod,0.0067831911007872675,5,13,bell,COMPLETE
96,3.867280611302704e-06,2025-07-14 22:47:56.529635,2025-07-14 22:49:23.589652,0 days 00:01:27.060017,identity,prod,0.008183648938381704,8,12,bell,COMPLETE
97,3.5814512102660956e-06,2025-07-14 22:49:23.590540,2025-07-14 22:50:56.058150,0 days 00:01:32.467610,identity,prod,0.009905744730501842,8,14,bell,COMPLETE
98,4.246791377227055e-06,2025-07-14 22:50:56.059037,2025-07-14 22:52:33.478445,0 days 00:01:37.419408,identity,prod,0.009948003931296657,7,16,bell,COMPLETE
99,3.9179881241580006e-06,2025-07-14 22:52:33.479395,2025-07-14 22:54:01.883736,0 days 00:01:28.404341,identity,prod,0.007849730997101859,8,14,gaussian,COMPLETE
100,0.0001443614310119301,2025-07-14 22:54:01.884676,2025-07-14 22:55:28.343514,0 days 00:01:26.458838,relu,min,0.009009846884074028,9,10,bell,COMPLETE
101,3.7430534121085657e-06,2025-07-14 22:55:28.344636,2025-07-14 22:56:59.320825,0 days 00:01:30.976189,identity,prod,0.0064457928485736485,8,13,bell,COMPLETE
102,4.643913598556537e-06,2025-07-14 22:56:59.321718,2025-07-14 22:58:35.564043,0 days 00:01:36.242325,identity,prod,0.006103235254389804,8,15,bell,COMPLETE
103,0.0017869618022814393,2025-07-14 22:58:35.564966,2025-07-14 23:00:03.087866,0 days 00:01:27.522900,identity,prod,0.005359014021281591,8,12,bell,COMPLETE
