number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,state
70,1.383497510687448e-05,2025-07-15 15:12:42.665428,2025-07-15 15:15:32.036121,0 days 00:02:49.370693,identity,16,115,0.0004403969809514858,14,COMPLETE
71,1.0061818102258258e-05,2025-07-15 15:15:32.036986,2025-07-15 15:17:51.207037,0 days 00:02:19.170051,identity,16,108,0.0002571378218041136,13,COMPLETE
72,6.391813712980365e-06,2025-07-15 15:17:51.207897,2025-07-15 15:20:12.850558,0 days 00:02:21.642661,identity,16,105,0.0003672831840845067,12,COMPLETE
73,4.997419637220446e-06,2025-07-15 15:20:12.851433,2025-07-15 15:22:15.110497,0 days 00:02:02.259064,identity,16,105,0.00035684195521291245,10,COMPLETE
74,1.4358278349391185e-05,2025-07-15 15:22:15.111339,2025-07-15 15:24:08.760040,0 days 00:01:53.648701,identity,16,89,0.0005786175198031233,10,COMPLETE
75,1.1449583325884305e-05,2025-07-15 15:24:08.760897,2025-07-15 15:26:46.109278,0 days 00:02:37.348381,identity,16,111,0.0004238117634149987,9,COMPLETE
76,5.640548260998912e-05,2025-07-15 15:26:46.110155,2025-07-15 15:27:54.557030,0 days 00:01:08.446875,identity,32,95,0.00022714848495629324,16,COMPLETE
77,1.3186047077178955,2025-07-15 15:27:54.557891,2025-07-15 15:29:36.682693,0 days 00:01:42.124802,relu,16,116,0.00017425041025911418,10,COMPLETE
78,0.0017110377084463835,2025-07-15 15:29:36.683552,2025-07-15 15:30:10.546934,0 days 00:00:33.863382,identity,64,102,0.0002959873522862106,11,COMPLETE
79,0.005106386728584766,2025-07-15 15:30:10.547556,2025-07-15 15:30:48.471223,0 days 00:00:37.923667,identity,128,63,0.00035232429479658227,22,COMPLETE
80,1.010912183119217e-05,2025-07-15 15:30:48.471867,2025-07-15 15:32:38.202431,0 days 00:01:49.730564,identity,16,31,0.00043381815084207346,24,COMPLETE
81,2.696764022402931e-05,2025-07-15 15:32:38.203285,2025-07-15 15:34:55.190903,0 days 00:02:16.987618,identity,16,104,0.00038035706300103376,12,COMPLETE
82,1.0981817467836663e-05,2025-07-15 15:34:55.191818,2025-07-15 15:36:49.224997,0 days 00:01:54.033179,identity,16,106,0.00035063053928886996,9,COMPLETE
83,1.7267389921471477e-05,2025-07-15 15:36:49.225839,2025-07-15 15:40:12.283301,0 days 00:03:23.057462,identity,16,111,0.00028428049212833985,18,COMPLETE
84,1.2201586287119426e-05,2025-07-15 15:40:12.284125,2025-07-15 15:42:21.441477,0 days 00:02:09.157352,identity,16,98,0.0004983664491210688,12,COMPLETE
85,1.5608342437190004e-05,2025-07-15 15:42:21.442349,2025-07-15 15:44:30.381560,0 days 00:02:08.939211,identity,16,114,0.000216444261793564,10,COMPLETE
86,7.116853339539375e-06,2025-07-15 15:44:30.382400,2025-07-15 15:46:44.028503,0 days 00:02:13.646103,identity,16,104,0.00031325350397251584,11,COMPLETE
87,9.089063496503513e-06,2025-07-15 15:46:44.029350,2025-07-15 15:48:03.879596,0 days 00:01:19.850246,identity,16,120,0.0008805968693711436,7,COMPLETE
88,7.75434909883188e-06,2025-07-15 15:48:03.880532,2025-07-15 15:51:00.627371,0 days 00:02:56.746839,identity,16,109,0.00025386532614207616,14,COMPLETE
89,8.292165875900537e-05,2025-07-15 15:51:00.628300,2025-07-15 15:51:34.502678,0 days 00:00:33.874378,relu,64,117,0.0006310704362709751,9,COMPLETE
90,1.064020034391433e-05,2025-07-15 15:51:34.503325,2025-07-15 15:53:43.797221,0 days 00:02:09.293896,identity,16,100,0.00035643271382480385,10,COMPLETE
91,8.214108675019816e-06,2025-07-15 15:53:43.798076,2025-07-15 15:55:59.167336,0 days 00:02:15.369260,identity,16,108,0.00026208311687469707,13,COMPLETE
92,1.3141482668288518e-05,2025-07-15 15:55:59.168181,2025-07-15 15:58:29.309470,0 days 00:02:30.141289,identity,16,113,0.00027540870997763,14,COMPLETE
93,1.743908978824038e-05,2025-07-15 15:58:29.310300,2025-07-15 16:01:23.024210,0 days 00:02:53.713910,identity,16,106,0.0004161319179658527,12,COMPLETE
94,1.0109741197084077e-05,2025-07-15 16:01:23.025123,2025-07-15 16:03:19.912820,0 days 00:01:56.887697,identity,16,85,0.00023383999670701264,11,COMPLETE
95,8.40468146634521e-06,2025-07-15 16:03:19.913694,2025-07-15 16:05:04.551009,0 days 00:01:44.637315,identity,16,110,0.00046014717635202727,8,COMPLETE
96,1.2289076039451174e-05,2025-07-15 16:05:04.551915,2025-07-15 16:06:12.688412,0 days 00:01:08.136497,identity,32,119,0.0005420668507768455,15,COMPLETE
97,1.6320775102940388e-05,2025-07-15 16:06:12.689042,2025-07-15 16:08:57.773032,0 days 00:02:45.083990,identity,16,101,0.00031883384823871465,13,COMPLETE
98,0.002615411765873432,2025-07-15 16:08:57.773898,2025-07-15 16:09:17.606798,0 days 00:00:19.832900,identity,128,96,0.0002106500746900221,9,COMPLETE
99,7.643495337106287e-06,2025-07-15 16:09:17.607386,2025-07-15 16:11:35.412305,0 days 00:02:17.804919,identity,16,114,0.00039855075175678753,10,COMPLETE
100,0.001426338218152523,2025-07-15 16:11:35.413175,2025-07-15 16:12:10.854289,0 days 00:00:35.441114,identity,64,92,0.00036551085046903194,12,COMPLETE
101,6.03080434302683e-06,2025-07-15 16:12:10.854962,2025-07-15 16:14:40.794224,0 days 00:02:29.939262,identity,16,103,0.0003279991890922889,11,COMPLETE
102,1.374859220959479e-05,2025-07-15 16:14:40.795074,2025-07-15 16:17:05.195986,0 days 00:02:24.400912,identity,16,105,0.00031023877507084226,11,COMPLETE
103,2.1923116946709342e-05,2025-07-15 16:17:05.197033,2025-07-15 16:19:24.655141,0 days 00:02:19.458108,identity,16,110,0.0002764606470105421,12,COMPLETE
104,8.548101504857186e-06,2025-07-15 16:19:24.655982,2025-07-15 16:21:25.092504,0 days 00:02:00.436522,identity,16,103,0.00024072812396995868,10,COMPLETE
105,1.2431683899194468e-05,2025-07-15 16:21:25.093351,2025-07-15 16:23:17.376422,0 days 00:01:52.283071,identity,16,107,0.0005017291892507928,8,COMPLETE
106,1.1353875379427336e-05,2025-07-15 16:23:17.377463,2025-07-15 16:25:03.153974,0 days 00:01:45.776511,identity,16,122,0.00019323993029739164,11,COMPLETE
107,1.0064786692964844e-05,2025-07-15 16:25:03.154831,2025-07-15 16:27:47.984202,0 days 00:02:44.829371,identity,16,128,0.0003341850317428779,20,COMPLETE
108,1.3199043273925781,2025-07-15 16:27:47.985149,2025-07-15 16:29:07.782474,0 days 00:01:19.797325,relu,16,117,0.00045039663280227183,7,COMPLETE
109,1.2718673133349512e-05,2025-07-15 16:29:07.783193,2025-07-15 16:31:03.265086,0 days 00:01:55.481893,identity,16,99,0.000393451063267177,9,COMPLETE
110,0.0004366072826087475,2025-07-15 16:31:03.265956,2025-07-15 16:31:26.256182,0 days 00:00:22.990226,identity,64,108,0.0002945630039987186,6,COMPLETE
111,5.563081231230171e-06,2025-07-15 16:31:26.256815,2025-07-15 16:33:54.743556,0 days 00:02:28.486741,identity,16,104,0.00031213749352887216,11,COMPLETE
