number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_lr,params_n_sets,params_seq_length,params_shape,state
98,5.610221705865115e-05,2025-07-10 22:28:55.823116,2025-07-10 22:30:58.205685,0 days 00:02:02.382569,identity,prod,0.006649202905494122,8,17,bell,COMPLETE
99,0.02633553184568882,2025-07-10 22:30:58.206735,2025-07-10 22:32:50.804292,0 days 00:01:52.597557,identity,prod,0.0007583651481701346,7,15,bell,COMPLETE
100,0.0001430576085112989,2025-07-10 22:32:50.805327,2025-07-10 22:34:50.066771,0 days 00:01:59.261444,identity,min,0.00812024486672633,7,17,bell,COMPLETE
101,3.6306228139437735e-06,2025-07-10 22:34:50.067810,2025-07-10 22:37:00.335602,0 days 00:02:10.267792,identity,prod,0.009939810496510274,9,18,bell,COMPLETE
102,0.014007282443344593,2025-07-10 22:37:00.336626,2025-07-10 22:39:10.444709,0 days 00:02:10.108083,identity,prod,0.008765305057581588,9,18,bell,COMPLETE
103,3.441787839619792e-06,2025-07-10 22:39:10.445736,2025-07-10 22:41:25.100888,0 days 00:02:14.655152,identity,prod,0.007077523935439229,9,19,bell,COMPLETE
104,1.1977655049122404e-05,2025-07-10 22:41:25.101857,2025-07-10 22:43:39.770755,0 days 00:02:14.668898,identity,prod,0.005780004250862364,9,19,bell,COMPLETE
105,5.641894404107006e-06,2025-07-10 22:43:39.771918,2025-07-10 22:45:50.026793,0 days 00:02:10.254875,identity,prod,0.006989980053969879,9,18,bell,COMPLETE
106,0.022208793088793755,2025-07-10 22:45:50.027794,2025-07-10 22:48:04.766979,0 days 00:02:14.739185,relu,prod,0.008824457047894209,9,19,bell,COMPLETE
107,3.417110974623938e-06,2025-07-10 22:48:04.767998,2025-07-10 22:49:53.208336,0 days 00:01:48.440338,identity,prod,0.00791494856298587,9,13,bell,COMPLETE
108,3.431885488680564e-06,2025-07-10 22:49:53.209360,2025-07-10 22:51:37.072024,0 days 00:01:43.862664,identity,prod,0.009268410358226533,9,12,bell,COMPLETE
109,0.028871916234493256,2025-07-10 22:51:37.072985,2025-07-10 22:53:16.967554,0 days 00:01:39.894569,identity,prod,0.0015653461311470815,9,12,gaussian,COMPLETE
110,3.7921327020740137e-06,2025-07-10 22:53:16.968596,2025-07-10 22:55:00.240550,0 days 00:01:43.271954,identity,prod,0.009310543002420367,9,11,bell,COMPLETE
111,4.495304892770946e-06,2025-07-10 22:55:00.241517,2025-07-10 22:56:44.300628,0 days 00:01:44.059111,identity,prod,0.007949469748046868,9,12,bell,COMPLETE
112,3.5065515930909896e-06,2025-07-10 22:56:44.301560,2025-07-10 22:58:23.433519,0 days 00:01:39.131959,identity,prod,0.006268915580664468,9,10,bell,COMPLETE
113,1.3258167200547177e-05,2025-07-10 22:58:23.434451,2025-07-10 23:00:02.648815,0 days 00:01:39.214364,identity,prod,0.006295362438885279,9,10,bell,COMPLETE
114,0.00015132600674405694,2025-07-10 23:00:02.649791,2025-07-10 23:01:32.598854,0 days 00:01:29.949063,identity,prod,0.009941824434854633,9,8,bell,COMPLETE
115,4.9467066673969384e-06,2025-07-10 23:01:32.599489,2025-07-10 23:03:16.195608,0 days 00:01:43.596119,identity,prod,0.00486225298085394,9,11,bell,COMPLETE
116,0.00799486879259348,2025-07-10 23:03:16.196581,2025-07-10 23:04:55.399826,0 days 00:01:39.203245,identity,prod,0.00214905648581026,9,10,bell,COMPLETE
117,0.018023885786533356,2025-07-10 23:04:55.400963,2025-07-10 23:06:35.817140,0 days 00:01:40.416177,identity,min,0.005373598772640761,9,13,sigmoid,COMPLETE
118,4.034719677292742e-05,2025-07-10 23:06:35.818165,2025-07-10 23:08:24.229589,0 days 00:01:48.411424,identity,prod,0.007456223597644477,9,13,bell,COMPLETE
119,7.3998635343741626e-06,2025-07-10 23:08:24.230589,2025-07-10 23:10:07.831569,0 days 00:01:43.600980,identity,prod,0.0036193817185094417,9,11,bell,COMPLETE
120,3.3777396311052144e-05,2025-07-10 23:10:07.832533,2025-07-10 23:11:51.056090,0 days 00:01:43.223557,identity,prod,0.008679540384403448,9,12,bell,COMPLETE
121,3.550160045051598e-06,2025-07-10 23:11:51.057073,2025-07-10 23:13:21.181378,0 days 00:01:30.124305,identity,prod,0.0068016313447485845,9,8,bell,COMPLETE
122,1.4715310499013867e-05,2025-07-10 23:13:21.182009,2025-07-10 23:14:51.322794,0 days 00:01:30.140785,identity,prod,0.0067081034198509335,9,8,bell,COMPLETE
123,0.0006965475622564554,2025-07-10 23:14:51.323416,2025-07-10 23:16:25.789856,0 days 00:01:34.466440,identity,prod,0.006095302342652277,9,9,bell,COMPLETE
124,5.115221483720234e-06,2025-07-10 23:16:25.790957,2025-07-10 23:17:55.983703,0 days 00:01:30.192746,identity,prod,0.00806046374378752,9,8,bell,COMPLETE
125,4.119729510421166e-06,2025-07-10 23:17:55.984327,2025-07-10 23:19:21.097460,0 days 00:01:25.113133,identity,prod,0.009397386763863763,9,7,bell,COMPLETE
126,0.001961625413969159,2025-07-10 23:19:21.098089,2025-07-10 23:20:37.365706,0 days 00:01:16.267617,identity,prod,0.0011549070953747352,9,5,bell,COMPLETE
127,3.508736699586734e-05,2025-07-10 23:20:37.366333,2025-07-10 23:22:26.212340,0 days 00:01:48.846007,relu,prod,0.007325063518367836,9,13,bell,COMPLETE
128,4.6985687731648795e-06,2025-07-10 23:22:26.213359,2025-07-10 23:24:02.910088,0 days 00:01:36.696729,identity,min,0.004403128421826113,9,10,bell,COMPLETE
129,0.006509630009531975,2025-07-10 23:24:02.911089,2025-07-10 23:26:01.037591,0 days 00:01:58.126502,identity,prod,0.005737708375767338,8,16,bell,COMPLETE
130,1.3512889381672721e-05,2025-07-10 23:26:01.038558,2025-07-10 23:27:22.721875,0 days 00:01:21.683317,identity,prod,0.006738982780347332,9,7,gaussian,COMPLETE
131,3.835677034658147e-06,2025-07-10 23:27:22.722503,2025-07-10 23:29:15.414599,0 days 00:01:52.692096,identity,prod,0.007937680285662847,9,14,bell,COMPLETE
132,3.6521364563668612e-06,2025-07-10 23:29:15.415592,2025-07-10 23:30:47.280743,0 days 00:01:31.865151,identity,prod,0.008641911675281144,8,9,bell,COMPLETE
133,3.675506150102592e-06,2025-07-10 23:30:47.281389,2025-07-10 23:32:57.516327,0 days 00:02:10.234938,identity,prod,0.00912353579505671,9,18,bell,COMPLETE
134,3.5042532999796094e-06,2025-07-10 23:32:57.517347,2025-07-10 23:34:47.039550,0 days 00:01:49.522203,identity,prod,0.009992716666185425,5,16,bell,COMPLETE
135,3.492027417451027e-06,2025-07-10 23:34:47.040522,2025-07-10 23:36:32.520546,0 days 00:01:45.480024,identity,prod,0.009859734645595449,5,15,bell,COMPLETE
136,4.526622069533914e-05,2025-07-10 23:36:32.521606,2025-07-10 23:38:17.960487,0 days 00:01:45.438881,identity,prod,0.0075065112690118636,5,15,bell,COMPLETE
137,0.11546874046325684,2025-07-10 23:38:17.961758,2025-07-10 23:39:42.457496,0 days 00:01:24.495738,identity,prod,0.00840141604046854,5,9,bell,COMPLETE
138,3.5145935726177413e-06,2025-07-10 23:39:42.458125,2025-07-10 23:41:23.854743,0 days 00:01:41.396618,identity,prod,0.005193850032542029,5,14,bell,COMPLETE
139,1.3226570445112884e-05,2025-07-10 23:41:23.855853,2025-07-10 23:43:04.050139,0 days 00:01:40.194286,identity,min,0.005259402733507578,5,14,bell,COMPLETE
140,7.08394736648188e-06,2025-07-10 23:43:04.051141,2025-07-10 23:44:40.514648,0 days 00:01:36.463507,identity,prod,0.003913424957563184,5,14,sigmoid,COMPLETE
