number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_h,params_lr,params_seq_length,params_shuffle,params_weight_decay,state
63,5.349202183424495e-06,2025-07-04 12:03:49.504932,2025-07-04 12:04:10.335421,0 days 00:00:20.830489,relu,16,119,0.001650633442873695,9,True,2.0186886320123227e-05,COMPLETE
64,1.9052713469136506e-05,2025-07-04 12:04:10.335602,2025-07-04 12:04:29.713014,0 days 00:00:19.377412,relu,16,103,0.0038249614537007857,8,True,0.0003706954245487763,COMPLETE
65,5.289412456477294e-06,2025-07-04 12:04:29.713194,2025-07-04 12:04:57.165655,0 days 00:00:27.452461,relu,16,114,0.0012162540640465263,17,True,1.193925652623549e-05,COMPLETE
66,4.3320301301719155e-06,2025-07-04 12:04:57.165849,2025-07-04 12:05:26.708623,0 days 00:00:29.542774,relu,16,119,0.0011370969500381707,18,True,1.1199225331631923e-05,COMPLETE
67,4.93936659040628e-06,2025-07-04 12:05:26.708846,2025-07-04 12:05:56.583181,0 days 00:00:29.874335,relu,16,120,0.0013589845302730678,19,True,1.1180784323945612e-05,COMPLETE
68,2.2932350475457497e-05,2025-07-04 12:05:56.583375,2025-07-04 12:06:04.118774,0 days 00:00:07.535399,identity,128,128,0.0013623219990511084,18,True,1.6726418986661533e-05,COMPLETE
69,8.769605483394116e-05,2025-07-04 12:06:04.119066,2025-07-04 12:06:32.004914,0 days 00:00:27.885848,relu,16,86,0.0009513306348312648,19,True,0.0007538260241259095,COMPLETE
70,0.02663465030491352,2025-07-04 12:06:32.005137,2025-07-04 12:06:49.925161,0 days 00:00:17.920024,sigmoid,32,119,0.0007652560353181553,19,True,1.105768937984404e-05,COMPLETE
71,5.119351044413634e-06,2025-07-04 12:06:49.925380,2025-07-04 12:07:17.020074,0 days 00:00:27.094694,relu,16,124,0.0011166644426978034,16,True,1.4724532942952309e-05,COMPLETE
72,5.9232911553408485e-06,2025-07-04 12:07:17.020272,2025-07-04 12:07:44.727176,0 days 00:00:27.706904,relu,16,125,0.0017115494913074304,16,True,1.0376154677507178e-05,COMPLETE
73,5.2040918490092736e-06,2025-07-04 12:07:44.727369,2025-07-04 12:08:14.869925,0 days 00:00:30.142556,relu,16,116,0.001103303949563529,19,True,1.576875708670346e-05,COMPLETE
74,4.925624580209842e-06,2025-07-04 12:08:14.870134,2025-07-04 12:08:40.980418,0 days 00:00:26.110284,relu,16,121,0.0014238637730863118,15,True,1.2121933310667945e-05,COMPLETE
75,5.418298769654939e-06,2025-07-04 12:11:36.293864,2025-07-04 12:12:02.204200,0 days 00:00:25.910336,relu,16,107,0.0015159209202880663,15,True,1.1775788177172739e-05,COMPLETE
76,4.260746209183708e-06,2025-07-04 12:12:02.204433,2025-07-04 12:12:27.304874,0 days 00:00:25.100441,relu,16,121,0.0005805768821638249,14,True,1.0078295947071961e-05,COMPLETE
77,5.049665560363792e-06,2025-07-04 12:12:27.305092,2025-07-04 12:12:53.505099,0 days 00:00:26.200007,relu,16,121,0.0006188536909347371,15,True,1.2120730938932311e-05,COMPLETE
78,7.83166160545079e-06,2025-07-04 12:12:53.505310,2025-07-04 12:13:02.853145,0 days 00:00:09.347835,relu,64,120,0.0006275924312395,14,True,1.011309507276721e-05,COMPLETE
79,5.620968295261264e-06,2025-07-04 12:13:02.853392,2025-07-04 12:13:28.554438,0 days 00:00:25.701046,relu,16,113,0.0005426251349928251,15,True,1.2727136601038165e-05,COMPLETE
