number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_lr,params_num_layers,params_shuffle,params_size_layers,params_weight_decay,state
92,2.7767295250669122e-05,2025-07-01 21:16:40.846411,2025-07-01 21:16:50.267032,0 days 00:00:09.420621,identity,16,0.0001645420226020372,2,True,47,1.664717945415682e-05,COMPLETE
93,1.2696464182226919e-05,2025-07-01 21:16:50.267376,2025-07-01 21:16:59.542696,0 days 00:00:09.275320,identity,16,0.00013975709075687978,2,True,33,1.99376035519025e-05,COMPLETE
94,8.179293217835948e-06,2025-07-01 21:16:59.543024,2025-07-01 21:17:08.830096,0 days 00:00:09.287072,identity,16,0.00019082793973449605,2,True,23,3.106577547672885e-05,COMPLETE
95,1.3668974133906886e-05,2025-07-01 21:17:08.830426,2025-07-01 21:17:19.978305,0 days 00:00:11.147879,identity,16,0.00021867879758694038,3,True,52,1.9957591307838528e-05,COMPLETE
96,9.798374776437413e-06,2025-07-01 21:17:19.978643,2025-07-01 21:17:29.451851,0 days 00:00:09.473208,identity,16,0.00012219188219792483,2,True,56,2.693413861892194e-05,COMPLETE
97,7.712213118793443e-06,2025-07-01 21:17:29.452181,2025-07-01 21:17:38.874624,0 days 00:00:09.422443,identity,16,0.0002624143864286773,2,True,47,1.6840179314882754e-05,COMPLETE
98,1.0158209079236258e-05,2025-07-01 21:17:38.874951,2025-07-01 21:17:49.855390,0 days 00:00:10.980439,identity,16,0.000303002607222834,3,True,40,0.0009683414031055248,COMPLETE
99,7.017789357632864e-06,2025-07-01 21:17:49.855725,2025-07-01 21:17:55.545644,0 days 00:00:05.689919,identity,32,0.00010723792225757722,2,True,99,2.1531910409440877e-05,COMPLETE
100,1.3490606761479285e-05,2025-07-01 21:17:55.545973,2025-07-01 21:18:07.114513,0 days 00:00:11.568540,identity,16,0.00016885601695275455,3,True,86,2.433046662758235e-05,COMPLETE
101,5.982024504191941e-06,2025-07-01 21:18:07.114850,2025-07-01 21:18:10.537133,0 days 00:00:03.422283,identity,64,0.00013025488870675397,2,True,74,1.4137490483196166e-05,COMPLETE
102,5.230045644566417e-06,2025-07-01 21:18:10.537462,2025-07-01 21:18:13.821592,0 days 00:00:03.284130,identity,64,0.00014336452115879978,2,True,28,1.5443148140570643e-05,COMPLETE
103,1.454953417123761e-05,2025-07-01 21:18:13.821928,2025-07-01 21:18:19.491903,0 days 00:00:05.669975,identity,32,0.00012411600354703462,2,True,91,1.884178444632142e-05,COMPLETE
104,4.678553978010314e-06,2025-07-01 21:18:19.492237,2025-07-01 21:18:22.829792,0 days 00:00:03.337555,identity,64,0.0001530464028448765,2,True,50,1.655952128210774e-05,COMPLETE
105,4.15971408074256e-06,2025-07-01 21:18:22.830126,2025-07-01 21:18:26.166027,0 days 00:00:03.335901,identity,64,0.00010016451528366805,2,True,50,1.7151941394526527e-05,COMPLETE
106,0.048573222011327744,2025-07-01 21:18:26.166366,2025-07-01 21:18:29.662036,0 days 00:00:03.495670,sigmoid,64,0.0001031311075037582,2,True,51,2.106433637346634e-05,COMPLETE
107,4.306697974243434e-06,2025-07-01 21:18:29.662370,2025-07-01 21:18:39.082007,0 days 00:00:09.419637,identity,16,0.0001578374590162838,2,True,47,1.731181050158779e-05,COMPLETE
108,7.057733000692679e-06,2025-07-01 21:18:39.082347,2025-07-01 21:18:48.485964,0 days 00:00:09.403617,identity,16,0.00015159259283372388,2,True,48,1.7265042738713557e-05,COMPLETE
