number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_shape,state
80,0.02984054759144783,2025-07-12 19:16:24.754501,2025-07-12 19:16:32.997566,0 days 00:00:08.243065,identity,prod,64,0.0020030067357819856,2,sigmoid,COMPLETE
81,0.0004423704231157899,2025-07-12 19:16:32.997956,2025-07-12 19:16:41.255711,0 days 00:00:08.257755,identity,prod,64,0.002662158755605347,2,sigmoid,COMPLETE
82,0.02612774446606636,2025-07-12 19:16:41.256288,2025-07-12 19:16:49.516506,0 days 00:00:08.260218,identity,prod,64,0.0026060377512787986,2,sigmoid,COMPLETE
83,0.0009491040837019682,2025-07-12 19:16:49.516867,2025-07-12 19:16:57.760403,0 days 00:00:08.243536,identity,prod,64,0.0029063980060511523,2,sigmoid,COMPLETE
84,0.005228924565017223,2025-07-12 19:16:57.760759,2025-07-12 19:17:05.991795,0 days 00:00:08.231036,identity,prod,64,0.0035584616636284475,2,sigmoid,COMPLETE
85,0.04440166428685188,2025-07-12 19:17:05.992152,2025-07-12 19:17:14.236961,0 days 00:00:08.244809,identity,prod,64,0.0041588262971985444,2,sigmoid,COMPLETE
86,0.1194954589009285,2025-07-12 19:17:14.237355,2025-07-12 19:17:25.313010,0 days 00:00:11.075655,identity,prod,64,0.002225167405602804,8,sigmoid,COMPLETE
87,0.00046475286944769323,2025-07-12 19:17:25.313366,2025-07-12 19:17:40.217947,0 days 00:00:14.904581,identity,min,32,0.003176069720386829,3,sigmoid,COMPLETE
88,0.000534643477294594,2025-07-12 19:17:40.218311,2025-07-12 19:18:09.554733,0 days 00:00:29.336422,identity,prod,16,0.0026115631323826343,2,bell,COMPLETE
89,1.6183620691299438,2025-07-12 19:18:09.555396,2025-07-12 19:18:14.835077,0 days 00:00:05.279681,relu,prod,128,0.0017786925492703782,2,sigmoid,COMPLETE
90,0.008107041008770466,2025-07-12 19:18:14.835434,2025-07-12 19:18:23.433033,0 days 00:00:08.597599,identity,min,64,0.004309822946332477,3,sigmoid,COMPLETE
91,0.0059913513250648975,2025-07-12 19:18:23.433396,2025-07-12 19:18:38.343478,0 days 00:00:14.910082,identity,min,32,0.0031513356954440456,3,sigmoid,COMPLETE
92,0.010873154737055302,2025-07-12 19:18:38.343848,2025-07-12 19:18:53.289524,0 days 00:00:14.945676,identity,min,32,0.0036401178636509177,3,sigmoid,COMPLETE
93,0.0008985767490230501,2025-07-12 19:18:53.290135,2025-07-12 19:19:07.421035,0 days 00:00:14.130900,identity,min,32,0.0032549940589056262,2,sigmoid,COMPLETE
94,0.06273623555898666,2025-07-12 19:19:07.421448,2025-07-12 19:19:22.350248,0 days 00:00:14.928800,identity,min,32,0.00019542044420908469,3,sigmoid,COMPLETE
95,0.0006815504166297615,2025-07-12 19:19:22.350625,2025-07-12 19:19:36.480730,0 days 00:00:14.130105,identity,min,32,0.003828040527509331,2,sigmoid,COMPLETE
96,0.027568841353058815,2025-07-12 19:19:36.481362,2025-07-12 19:19:45.841254,0 days 00:00:09.359892,identity,prod,64,0.005590726536299544,2,bell,COMPLETE
97,0.005620881915092468,2025-07-12 19:19:45.841634,2025-07-12 19:20:12.348801,0 days 00:00:26.507167,identity,min,16,0.0015959549125979524,3,sigmoid,COMPLETE
98,0.2097168117761612,2025-07-12 19:20:12.349201,2025-07-12 19:20:21.576412,0 days 00:00:09.227211,identity,prod,64,0.0023916428015491008,4,sigmoid,COMPLETE
99,0.017342207953333855,2025-07-12 19:20:21.577001,2025-07-12 19:20:29.759957,0 days 00:00:08.182956,identity,min,64,0.004918006038985556,2,sigmoid,COMPLETE
100,0.13955265283584595,2025-07-12 19:20:29.760367,2025-07-12 19:21:00.243988,0 days 00:00:30.483621,identity,prod,16,0.002763316461968784,5,sigmoid,COMPLETE
101,0.0009507054346613586,2025-07-12 19:21:00.244409,2025-07-12 19:21:09.277876,0 days 00:00:09.033467,identity,prod,64,0.0061666187003375965,3,gaussian,COMPLETE
102,0.001229722867719829,2025-07-12 19:21:09.278257,2025-07-12 19:21:18.315101,0 days 00:00:09.036844,identity,prod,64,0.0044292829471223915,3,gaussian,COMPLETE
103,0.7996760010719299,2025-07-12 19:21:18.315483,2025-07-12 19:21:26.880817,0 days 00:00:08.565334,identity,prod,64,0.005193901296964017,2,gaussian,COMPLETE
104,0.0028419746086001396,2025-07-12 19:21:26.881189,2025-07-12 19:21:35.904078,0 days 00:00:09.022889,identity,prod,64,0.00732658537497066,3,gaussian,COMPLETE
105,0.007700192742049694,2025-07-12 19:21:35.904453,2025-07-12 19:21:45.737209,0 days 00:00:09.832756,identity,prod,64,0.0034302106203466807,3,bell,COMPLETE
106,1.6183620691299438,2025-07-12 19:21:45.737849,2025-07-12 19:22:11.095197,0 days 00:00:25.357348,relu,min,16,0.004067178089232045,2,sigmoid,COMPLETE
107,0.9086255431175232,2025-07-12 19:22:11.095608,2025-07-12 19:22:26.890164,0 days 00:00:15.794556,identity,prod,32,0.0029168504306930796,3,gaussian,COMPLETE
108,0.02598944492638111,2025-07-12 19:22:26.890548,2025-07-12 19:22:36.103919,0 days 00:00:09.213371,identity,prod,64,0.004881139482684412,4,sigmoid,COMPLETE
109,0.3235851228237152,2025-07-12 19:22:36.104298,2025-07-12 19:22:41.911041,0 days 00:00:05.806743,identity,min,128,0.0037674303046437542,2,bell,COMPLETE
110,0.0004577990621328354,2025-07-12 19:22:41.911654,2025-07-12 19:23:08.418106,0 days 00:00:26.506452,identity,prod,16,0.005723750507889591,2,gaussian,COMPLETE
111,0.0004935510805808008,2025-07-12 19:23:08.418581,2025-07-12 19:23:34.816724,0 days 00:00:26.398143,identity,prod,16,0.005934689531602785,2,gaussian,COMPLETE
112,0.0005048587336204946,2025-07-12 19:23:34.817163,2025-07-12 19:24:01.292545,0 days 00:00:26.475382,identity,prod,16,0.00674850502331926,2,gaussian,COMPLETE
113,0.000753620290197432,2025-07-12 19:24:01.293206,2025-07-12 19:24:27.748138,0 days 00:00:26.454932,identity,prod,16,0.004334979232955067,2,gaussian,COMPLETE
114,0.0005097557441331446,2025-07-12 19:24:27.748538,2025-07-12 19:24:54.244673,0 days 00:00:26.496135,identity,prod,16,0.0057325476352398435,2,gaussian,COMPLETE
115,0.09389830380678177,2025-07-12 19:24:54.245309,2025-07-12 19:25:22.521458,0 days 00:00:28.276149,identity,prod,16,0.002061046412289319,3,gaussian,COMPLETE
116,0.016754258424043655,2025-07-12 19:25:22.522141,2025-07-12 19:25:30.772559,0 days 00:00:08.250418,identity,prod,64,0.003340347686849072,2,sigmoid,COMPLETE
117,0.00044155941577628255,2025-07-12 19:25:30.772939,2025-07-12 19:25:39.709213,0 days 00:00:08.936274,identity,min,64,0.0010666748295793237,3,gaussian,COMPLETE
118,0.0032210221979767084,2025-07-12 19:25:39.709594,2025-07-12 19:25:48.323999,0 days 00:00:08.614405,identity,min,64,0.0010431508859983227,3,sigmoid,COMPLETE
119,1.0088661909103394,2025-07-12 19:25:48.324368,2025-07-12 19:26:14.476050,0 days 00:00:26.151682,identity,min,16,0.0004998083333418065,2,gaussian,COMPLETE
120,0.15118123590946198,2025-07-12 19:26:14.476701,2025-07-12 19:26:24.790119,0 days 00:00:10.313418,identity,min,64,0.0023854130990628216,7,sigmoid,COMPLETE
121,0.2206435352563858,2025-07-12 19:26:24.790533,2025-07-12 19:26:33.740293,0 days 00:00:08.949760,identity,min,64,0.0007112951117159907,3,gaussian,COMPLETE
122,0.08084928244352341,2025-07-12 19:26:33.740695,2025-07-12 19:26:42.683360,0 days 00:00:08.942665,identity,min,64,0.0011661560789365144,3,gaussian,COMPLETE
123,0.6642429828643799,2025-07-12 19:26:42.683988,2025-07-12 19:26:52.225085,0 days 00:00:09.541097,identity,prod,64,0.004696440556991943,4,gaussian,COMPLETE
124,0.04030568525195122,2025-07-12 19:26:52.225490,2025-07-12 19:27:00.738956,0 days 00:00:08.513466,identity,min,64,0.005211529382868168,2,gaussian,COMPLETE
125,0.0019128170097246766,2025-07-12 19:27:00.739388,2025-07-12 19:27:09.795682,0 days 00:00:09.056294,identity,prod,64,0.003986147575570836,3,gaussian,COMPLETE
126,1.6183620691299438,2025-07-12 19:27:09.796126,2025-07-12 19:27:35.202986,0 days 00:00:25.406860,relu,min,16,0.009349091276924883,2,sigmoid,COMPLETE
127,0.0004094023024663329,2025-07-12 19:27:35.203643,2025-07-12 19:27:51.677904,0 days 00:00:16.474261,identity,prod,32,0.003030857451380133,2,bell,COMPLETE
128,0.0006575851002708077,2025-07-12 19:27:51.678316,2025-07-12 19:28:08.134995,0 days 00:00:16.456679,identity,prod,32,0.000865827012352906,2,bell,COMPLETE
129,1.1629302501678467,2025-07-12 19:28:08.135390,2025-07-12 19:28:24.443704,0 days 00:00:16.308314,identity,min,32,0.0030244016038946065,2,bell,COMPLETE
130,1.7902389764785767,2025-07-12 19:28:24.444136,2025-07-12 19:28:40.907428,0 days 00:00:16.463292,identity,prod,32,0.0019275124510250003,2,bell,COMPLETE
131,0.0027823655400425196,2025-07-12 19:28:40.907836,2025-07-12 19:28:57.377422,0 days 00:00:16.469586,identity,prod,32,0.002664399561792443,2,bell,COMPLETE
132,0.1627681404352188,2025-07-12 19:28:57.378075,2025-07-12 19:29:14.769918,0 days 00:00:17.391843,identity,prod,32,0.0035115754173212187,3,bell,COMPLETE
133,0.005819256883114576,2025-07-12 19:29:14.770363,2025-07-12 19:29:23.040845,0 days 00:00:08.270482,identity,prod,64,0.0043065055824385405,2,sigmoid,COMPLETE
134,0.14248529076576233,2025-07-12 19:29:23.041225,2025-07-12 19:29:31.781668,0 days 00:00:08.740443,identity,prod,64,0.003851588293901563,3,sigmoid,COMPLETE
135,0.000550751865375787,2025-07-12 19:29:31.782092,2025-07-12 19:29:58.263919,0 days 00:00:26.481827,identity,prod,16,0.0014523946526632063,2,gaussian,COMPLETE
136,0.008143813349306583,2025-07-12 19:29:58.264592,2025-07-12 19:30:03.753496,0 days 00:00:05.488904,identity,prod,128,0.0032912685180161256,3,sigmoid,COMPLETE
137,0.0003921117458958179,2025-07-12 19:30:03.754119,2025-07-12 19:30:13.071566,0 days 00:00:09.317447,identity,min,64,0.005452370810525287,2,bell,COMPLETE
138,0.0006385676097124815,2025-07-12 19:30:13.071967,2025-07-12 19:30:22.362942,0 days 00:00:09.290975,identity,min,64,0.004707255348799418,2,bell,COMPLETE
139,0.009446370415389538,2025-07-12 19:30:22.363339,2025-07-12 19:30:38.670121,0 days 00:00:16.306782,identity,min,32,0.006388941308137929,2,bell,COMPLETE
140,1.054318904876709,2025-07-12 19:30:38.670804,2025-07-12 19:30:47.963840,0 days 00:00:09.293036,identity,min,64,0.0053501817112746155,2,bell,COMPLETE
141,0.3000223934650421,2025-07-12 19:30:47.964240,2025-07-12 19:30:57.264039,0 days 00:00:09.299799,identity,min,64,0.0005441073030270734,2,bell,COMPLETE
142,0.00049309286987409,2025-07-12 19:30:57.264433,2025-07-12 19:31:06.567259,0 days 00:00:09.302826,identity,min,64,0.0029689462625706294,2,bell,COMPLETE
143,0.0032771171536296606,2025-07-12 19:31:06.567646,2025-07-12 19:31:15.186425,0 days 00:00:08.618779,identity,min,64,0.005504956703107722,3,sigmoid,COMPLETE
