number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
53,0.7750000000000001,2025-10-01 09:24:31.012521,2025-10-01 09:24:56.879694,0 days 00:00:25.867173,min,0.0004809098749570612,3,2,bell,COMPLETE
54,0.8408333333333335,2025-10-01 09:24:56.880100,2025-10-01 09:25:24.785123,0 days 00:00:27.905023,frank,0.000614550176172468,4,3,bell,COMPLETE
55,0.8666666666666666,2025-10-01 09:25:24.785523,2025-10-01 09:25:50.741432,0 days 00:00:25.955909,min,0.0007972074636621757,3,4,bell,COMPLETE
56,0.30249999999999994,2025-10-01 09:25:50.741954,2025-10-01 09:26:13.198292,0 days 00:00:22.456338,luka,0.0007066577883394819,5,3,gaussian,COMPLETE
57,0.8408333333333335,2025-10-01 09:26:13.198691,2025-10-01 09:26:41.153291,0 days 00:00:27.954600,frank,0.00045518050730557343,4,4,bell,COMPLETE
58,0.5641666666666667,2025-10-01 09:26:41.153715,2025-10-01 09:27:06.995282,0 days 00:00:25.841567,min,1.1320802505454942e-05,3,2,bell,COMPLETE
59,0.8275,2025-10-01 09:27:06.995794,2025-10-01 09:27:27.591362,0 days 00:00:20.595568,prod,0.0008836163238149694,4,3,sigmoid,COMPLETE
60,0.8283333333333335,2025-10-01 09:27:27.591760,2025-10-01 09:27:54.965661,0 days 00:00:27.373901,hamacher,0.000161639980230323,3,4,bell,COMPLETE
61,0.8408333333333335,2025-10-01 09:27:54.966080,2025-10-01 09:28:21.016780,0 days 00:00:26.050700,prod,0.0009983116681737058,2,5,bell,COMPLETE
62,0.8141666666666667,2025-10-01 09:28:21.017173,2025-10-01 09:28:47.130561,0 days 00:00:26.113388,prod,0.000602854547890066,2,5,bell,COMPLETE
63,0.8141666666666667,2025-10-01 09:28:47.131062,2025-10-01 09:29:13.176838,0 days 00:00:26.045776,prod,0.0007233405717152918,2,5,bell,COMPLETE
64,0.8541666666666667,2025-10-01 09:29:13.177248,2025-10-01 09:29:39.298733,0 days 00:00:26.121485,prod,0.0008755135808902894,2,5,bell,COMPLETE
65,0.8558333333333333,2025-10-01 09:29:39.299144,2025-10-01 09:30:05.418268,0 days 00:00:26.119124,prod,0.0005171741293513751,4,5,bell,COMPLETE
66,0.8675,2025-10-01 09:30:05.418760,2025-10-01 09:30:31.536846,0 days 00:00:26.118086,prod,0.0006568477806111836,2,5,bell,COMPLETE
67,0.8675,2025-10-01 09:30:31.537267,2025-10-01 09:30:53.895095,0 days 00:00:22.357828,frank,0.0008681873882565744,3,3,sigmoid,COMPLETE
68,0.8283333333333335,2025-10-01 09:30:53.895491,2025-10-01 09:31:19.853748,0 days 00:00:25.958257,prod,0.0003902628362613515,4,4,bell,COMPLETE
69,0.8541666666666666,2025-10-01 09:31:19.854172,2025-10-01 09:31:41.824005,0 days 00:00:21.969833,min,0.0009903140485286281,2,3,gaussian,COMPLETE
70,0.8683333333333334,2025-10-01 09:31:41.824405,2025-10-01 09:32:04.599126,0 days 00:00:22.774721,frank,0.0005881294166911045,3,5,sigmoid,COMPLETE
