number,value,datetime_start,datetime_complete,duration,params_and_operator,params_lr,params_n_sets_protein,params_n_sets_salt,params_shape,state
67,0.7636363636363637,2025-10-01 11:17:44.160626,2025-10-01 11:17:59.350884,0 days 00:00:15.190258,prod,0.0006817463262030231,4,5,gaussian,COMPLETE
68,0.8036363636363635,2025-10-01 11:17:59.351288,2025-10-01 11:18:16.901077,0 days 00:00:17.549789,prod,0.0003034092131699296,5,4,bell,COMPLETE
69,0.8,2025-10-01 11:18:16.901500,2025-10-01 11:18:35.847152,0 days 00:00:18.945652,frank,0.0004819420036596483,3,5,bell,COMPLETE
70,0.7636363636363637,2025-10-01 11:18:35.847561,2025-10-01 11:18:49.763404,0 days 00:00:13.915843,prod,0.0003887357782928426,4,5,sigmoid,COMPLETE
71,0.8018181818181818,2025-10-01 11:18:49.763717,2025-10-01 11:19:07.288618,0 days 00:00:17.524901,prod,0.0005954829211776037,3,5,bell,COMPLETE
72,0.8399999999999999,2025-10-01 11:19:07.289029,2025-10-01 11:19:24.794712,0 days 00:00:17.505683,prod,0.0009170352461347666,3,5,bell,COMPLETE
73,0.8399999999999999,2025-10-01 11:19:24.795120,2025-10-01 11:19:42.311361,0 days 00:00:17.516241,prod,0.0006751693657253056,3,5,bell,COMPLETE
74,0.7636363636363637,2025-10-01 11:19:42.311770,2025-10-01 11:19:59.810950,0 days 00:00:17.499180,prod,0.0007475712766103449,3,5,bell,COMPLETE
75,0.8,2025-10-01 11:19:59.811350,2025-10-01 11:20:17.324300,0 days 00:00:17.512950,prod,0.0004671438730954964,3,5,bell,COMPLETE
76,0.8399999999999999,2025-10-01 11:20:17.324718,2025-10-01 11:20:32.408811,0 days 00:00:15.084093,prod,0.0006145976498253939,3,5,gaussian,COMPLETE
77,0.35454545454545455,2025-10-01 11:20:32.409123,2025-10-01 11:20:49.923085,0 days 00:00:17.513962,luka,0.000796425882706454,4,4,bell,COMPLETE
78,0.78,2025-10-01 11:20:49.923486,2025-10-01 11:21:07.290089,0 days 00:00:17.366603,min,0.0002448072168020845,2,4,bell,COMPLETE
79,0.7454545454545454,2025-10-01 11:21:07.290505,2025-10-01 11:21:24.802023,0 days 00:00:17.511518,prod,0.00018821321102971585,3,5,bell,COMPLETE
80,0.8036363636363635,2025-10-01 11:21:24.802445,2025-10-01 11:21:39.742848,0 days 00:00:14.940403,prod,0.0005172170424589344,4,4,gaussian,COMPLETE
81,0.7799999999999999,2025-10-01 11:21:39.743274,2025-10-01 11:21:57.231357,0 days 00:00:17.488083,prod,0.00028821502841522984,3,4,bell,COMPLETE
82,0.8399999999999999,2025-10-01 11:21:57.231766,2025-10-01 11:22:14.714540,0 days 00:00:17.482774,prod,0.00034149759164267134,3,4,bell,COMPLETE
83,0.7472727272727273,2025-10-01 11:22:14.714969,2025-10-01 11:22:32.053503,0 days 00:00:17.338534,prod,0.0009209377666107259,3,3,bell,COMPLETE
84,0.7854545454545454,2025-10-01 11:22:32.053823,2025-10-01 11:22:49.537796,0 days 00:00:17.483973,prod,0.0002765428938911125,3,4,bell,COMPLETE
85,0.7418181818181818,2025-10-01 11:22:49.538199,2025-10-01 11:23:07.890629,0 days 00:00:18.352430,hamacher,0.00020260157171558542,3,4,bell,COMPLETE
86,0.8,2025-10-01 11:23:07.891066,2025-10-01 11:23:25.418668,0 days 00:00:17.527602,prod,0.00040903969483431377,3,5,bell,COMPLETE
87,0.7618181818181818,2025-10-01 11:23:25.419082,2025-10-01 11:23:44.053653,0 days 00:00:18.634571,frank,9.07999143635638e-05,4,4,bell,COMPLETE
88,0.76,2025-10-01 11:23:44.054087,2025-10-01 11:24:01.565323,0 days 00:00:17.511236,prod,0.00024064661369516854,3,5,bell,COMPLETE
