number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lr,params_n_layers,state
62,0.8941666666666668,2025-10-01 12:28:05.807602,2025-10-01 12:28:14.968594,0 days 00:00:09.160992,tanh,23,0.000612648611452462,1,COMPLETE
63,0.8166666666666668,2025-10-01 12:28:14.968977,2025-10-01 12:28:24.100239,0 days 00:00:09.131262,tanh,17,0.0004042854103936005,1,COMPLETE
64,0.8150000000000002,2025-10-01 12:28:24.100495,2025-10-01 12:28:37.743016,0 days 00:00:13.642521,tanh,23,3.5706172517231024e-05,3,COMPLETE
65,0.8408333333333333,2025-10-01 12:28:37.743363,2025-10-01 12:28:46.897211,0 days 00:00:09.153848,tanh,20,0.0006815188268945562,1,COMPLETE
66,0.775,2025-10-01 12:28:46.897468,2025-10-01 12:29:00.587875,0 days 00:00:13.690407,tanh,29,2.121699264189149e-05,3,COMPLETE
67,0.7775000000000001,2025-10-01 12:29:00.588254,2025-10-01 12:29:09.805329,0 days 00:00:09.217075,tanh,61,2.9637394643752072e-05,1,COMPLETE
68,0.8675,2025-10-01 12:29:09.805588,2025-10-01 12:29:21.386331,0 days 00:00:11.580743,tanh,46,1.3822470067702213e-05,2,COMPLETE
69,0.5641666666666667,2025-10-01 12:29:21.386685,2025-10-01 12:29:35.017047,0 days 00:00:13.630362,sigmoid,32,0.0006068944328839268,3,COMPLETE
70,0.7775000000000001,2025-10-01 12:29:35.017425,2025-10-01 12:29:48.469772,0 days 00:00:13.452347,tanh,12,6.589962383866383e-05,3,COMPLETE
71,0.8808333333333334,2025-10-01 12:29:48.470078,2025-10-01 12:29:57.627420,0 days 00:00:09.157342,tanh,25,0.0007404193515987539,1,COMPLETE
72,0.9075000000000001,2025-10-01 12:29:57.627774,2025-10-01 12:30:09.031649,0 days 00:00:11.403875,tanh,18,0.0005745243318826058,2,COMPLETE
73,0.8941666666666667,2025-10-01 12:30:09.031909,2025-10-01 12:30:20.446854,0 days 00:00:11.414945,tanh,20,0.0005745355549017782,2,COMPLETE
74,0.8675,2025-10-01 12:30:20.447217,2025-10-01 12:30:29.579518,0 days 00:00:09.132301,tanh,17,0.00034212065798712384,1,COMPLETE
